岗位名称,公司名称,薪资范围,工作城市,经验要求,学历要求,公司性质,公司规模,公司行业,公司标签,职位描述
AI Agent开发工程师（26年应届生）,立邦投资有限公司,1-2万,上海·浦东·花木,经验不限,本科,外商独资,10000人以上,化学原料/化学制品,最佳雇主,职位描述 一、岗位概述本岗位主要负责基于大模型构建具备任务理解、任务拆解、工具调用与执行能力的智能体应用。你将围绕真实业务场景，参与AI Agent系统从方案设计、原型开发、能力集成、测试调优到落地迭代的全过程，推动智能体从概念验证走向实际可用。本岗位重点关注AI Agent工程开发能力，希望你具备良好的编程基础、工程思维和动手能力，能够将大模型能力转化为可运行、可扩展、可持续优化的应用系统。二、核心职责1、AI Agent系统开发• 参与基于大语言模型的AI Agent应用设计与开发，包括任务流设计、执行逻辑编排与工具调用集成。• 根据业务需求，构建具备理解、规划、执行能力的智能体原型或应用模块。• 参与Agent skills、工具调用能力、安全沙盒机制及任务执行链路的开发、联调与优化。• 支持AI Agent在不同场景下的能力扩展、稳定性优化与功能迭代。2、工具与系统集成• 接入业务系统接口、第三方服务接口及各类工具能力，提升AI Agent的任务执行与协同能力。• 协助实现AI Agent与内部平台、业务流程及自动化系统的联动集成。• 参与接口联调、异常排查、运行测试及基础性能优化工作。3、场景落地与效果优化• 结合实际业务问题，参与AI Agent应用场景分析、原型验证和落地推进。• 持续优化AI Agent的任务拆解能力、执行效果、响应质量、稳定性与可用性。• 参与测试案例整理、运行问题复盘及应用效果评估，提升系统可维护性与可复制性。三、任职资格应知1. 了解大语言模型（LLM）的基本原理及常见应用模式。2. 理解Agent、skills、工具调用、沙盒执行、工作流编排等基础概念。3. 理解AI应用从原型开发、测试验证到部署迭代的基本过程。4. 对AI Agent开发方向有明确兴趣，愿意持续投入实践。应会1. 熟练掌握至少一门编程语言，优先Python，具备良好的代码实现能力。2. 具备基础的数据结构、算法、接口调用与调试能力，能够独立完成简单功能模块开发。3. 熟悉Git等开发协作工具，有良好的工程开发习惯。4. 能够基于大模型API、工具调用机制和业务接口，完成简单AI Agent原型的开发、调试与验证。5. 具备基础技术文档编写与问题分析能力。应善1. 具备良好的逻辑分析能力，能够将复杂任务拆解为清晰可执行的步骤。2. 有较强的动手能力和结果导向，能够把想法快速转化为可运行的原型或功能。3. 对新技术保持敏感，具备较强学习能力和持续迭代意识。4. 具备良好的沟通协作能力，能够与产品、业务、研发同事配合推进项目。应备1. 2026届本科及以上学历，人工智能、计算机科学与技术、软件工程、数据科学、电子信息等相关专业优先。2. 有以下任一经历者优先：• AI Agent / LLM应用开发项目经验• skills或工具能力封装经验• 自动化工作流、任务执行链路或安全沙盒相关开发经验• 大模型与业务系统/API集成项目经验3. 有可展示的项目作品、代码仓库、Demo或技术输出者优先。4. 英语读写能力良好，能够阅读技术文档者优先。
Customer Service Representative,丹佛斯在华子公司,面议,上海·浦东·金桥,经验不限,,外商独资,1000-9999人,金属制品/机加工,,"职位描述 The Impact You'll Make Work as bridge between customer and plants, Providing Customers with the highest level of support on all aspects from order. What You’ll Be Doing Handle customer orders and act as a single point of contact, coordinating with internal parties to ensure customer needs are met. Proactively follow up on order delivery, communicate with relevant departments such as production planning, and promptly inform customers of any delays or stock shortages. Accurately record customer inquiries and feedback, clarify ownership, drive issue resolution, and continuously improve customer experience. Respond actively to customer requests, coordinate internal and external resources, and deliver solutions that exceed customer expectations. Ensure timely responses to customer inquiries and maintain high standards of resolution quality and efficiency. Achieve individual and team performance targets (KPIs) and comply with company policies and internal management systems. Strictly adhere to Standard Operating Procedures (SOPs), ensure smooth business workflows, and prepare related order/sales reports as required. Assist team members as needed to foster collaboration, and perform other tasks assigned by the team manager or the company. What We're Looking For Bachelor’s degree in Business Administration, Logistics, Economics or a related field. 2–3 years of experience in a customer service role, preferably in order management or logistics coordination. Hands-on experience with SAP is a strong plus. Excellent communication skills, high sense of responsibility, and strong customer-oriented mindset. Ability to deeply understand customer needs, and proactively optimize processes to enhance satisfaction. Capable of working under pressure in a fast-paced environment. Team player with a collaborative and problem-solving attitude. Good command of English, both written and spoken preferred. What You'll Get from Us We promote from within and support your learning with mentoring, training, and access to global opportunities. You’ll have flexibility, autonomy, and support to do your best work while maintaining a healthy work-life balance. Your well-being matters to us. We strive to create an inclusive work environment where people of all backgrounds are respected, and valued for who they are. You’ll receive benefits like 13th salary, annual bonus, paid vacation, pension plans, personal insurance, and more. These vary by country and contract, but they’re worth asking about—we think they’re pretty great. Ready to Make a Difference? If this role excites you, we’d love to hear from you! Apply now to start the conversation and learn more about where your career can go with us. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, veteran status, or other protected category."
Researcher-LLM Applications,液化空气(中国)投资有限公司,1.5-2.5万,上海·闵行·颛桥,经验不限,本科,外商独资,1000-9999人,石油/石化,优选雇主,"职位描述 液化空气集团早在1916年就进入中国，70年代开始向中国提供空分设备，经过多年的稳步发展，目前在中国设有近120家工厂，遍布40多个城市，拥有约5000名员工。集团在华主要经营范围包括工业及医用气体的运营，家庭健康服务，工程与制造业务，以及全球市场与技术和上海创新园从事的创新业务。公司业务已覆盖中国主要的沿海工业区域，并继续向中部、南部和西部地区拓展。液化空气通过创造卓越绩效和履行责任追求盈利性增长和长期可持续发展，并保持在中国的行业领先地位。依托于集团的长期战略与全球资源，公司聚焦能源、环境、高科技和健康等领域，以迎接挑战并创造新的市场机遇。凭借专业团队的全力支持，公司致力于为客户提供可信赖的服务与高附加值解决方案，同时履行企业社会责任。""Within the framework of the R&D strategy and roadmap, support or perform research projects in labs, whatever the research subject, in order to develop technologies and innovations for our internal and external clients. Lab could be considered as internal Lab or external partnerships (eg. universities, start-ups) EXCLUDE : HC Preclinical trials functions (should be coded in the Group Job : ""Preclinical & Clinical Trial (HC)""您将如何贡献和成长？1. Propose solutions to answer to R&D projects issues2. Elaborate lab experiences plan3. Write state of art (make/buy/partnership)4. Follow partnerships and suppliers contratcs5. Write large reports6. Be accountable for the results from lab experiences7. Propose the next steps for R&D projects您是合适的人选么？Master and/or Bachelor in Engineering, R&D, etc.Seniority +3-5 years关于液化空气集团 液化空气集团 —— 全球工业与健康领域气体、技术和服务的领导者之一，业务遍及78个国家/地区，员工约64,500人，为380多万名客户与患者提供服务。氧气、氮气和氢气是生命、物质及能源不可或缺的小分子。它们象征着液化空气的科学疆域，自集团1902年成立以来，始终位于其业务的核心。多样化造就了我们的业绩 在液化空气，我们致力于建立一个多元化和包容性的工作场所，拥抱来自全球的员工、客户、患者、社区利益相关者和文化的多样性。我们欢迎并考虑所有合格申请人的申请，无论他们的背景如何。我们坚信，多元化的组织为人们提供了展示个人和集体才能的机会，它有助于培养我们的创新能力，通过践行我们的基本原则、为我们的成功而努力并在不断变化的世界中创造一个有吸引力的环境。"
AI Agent软件开发岗,外企德科数字技术有限公司,1.3-2.6万·14薪,上海·青浦·金泽,3-5年,本科,合资,10000人以上,软件/IT服务,,职位描述 岗位职责：- 负责AI Agent核心模块（推理引擎、任务规划、工具调用、RAG记忆系统等）的设计、开发与优化，支撑智能体自主决策与多任务协作。- 研究AI Agent相关算法与技术，结合业务场景选型优化，提升智能体交互体验与执行效率。- 参与系统架构设计，负责核心代码编写、测试与性能调优，解决研发过程中的复杂技术问题。- 配合算法团队完成技术验证落地，编写维护技术规范与开发文档，推动研发流程标准化。任职要求：- 数据结构与算法基础：扎实掌握常见数据结构（链表、树、栈、队列、哈希表等），熟练掌握排序、查找、动态规划、贪心等核心算法，具备较强的算法解题能力。- 编程能力：熟悉至少一种主流编程语言（Java/Python/C++），能够编写高效、规范的生产级代码；熟悉异步编程、模块化开发，掌握Git、Docker等工程化工具。
AI智能体算法工程师(周末双休)/ Agent相关项目经验,济南银狐网络科技有限公司,2-2.4万,上海·浦东·周家渡,3-5年,本科,民营,20-99人,产业互联网平台,,职位描述 岗位职责：1、智能体核心开发：设计并实现基于自然语言交互的“AI用数智能体”，支撑业务指标查询、趋势分析、风险预警等场景。2、大模型集成与调优：负责DeepSeek、Qwen3等主流大模型的接入、Prompt工程、检索增强生成（RAG）及微调，将模型能力落地为稳定可靠的生成服务。3、语义解析与知识增强：构建并维护企业级知识图谱和元数据增强体系（表结构、指标维度、业务术语映射），实现精准的语义理解与多源异构成熟SQL的自动转换。 4、数据中台架构对接：基于“数据中台主导型”架构，设计智能体与数据中台、数据仓库、数据湖的标准化接口，适配各类政企业务数据源，保障查询安全与高效路由。 5、智能可视化与导出：开发生成式智能图表推荐与渲染模块，实现多格式（Excel、PDF、图片等）的自动导出，让数据洞察所见即所得。 任职要求： 1、学历与经验：本科及以上，计算机、人工智能、数学等相关专业，3年以上AI、NLP、数据工程或系统开发经验。 2、大模型工程化能力： ① 熟练调用和部署DeepSeek、Qwen3、GPT等大模型，精通Prompt设计、链式推理（ReAct/Function Calling）及流式输出处理。 ② 有使用LangChain、LlamaIndex、Dify等框架或工具开发过RAG应用或对话式智能体的实战经验。 3、Text-to-SQL与语义解析： ① 熟悉自然语言转SQL（Text-to-SQL）的技术路线，掌握Schema Linking、few-shot提示、SQL生成纠正等方法。 ② 有能力利用元数据、知识图谱等技术提升复杂业务问题的SQL生成准确率。 知识图谱与元数据管理： ③ 具备知识图谱建模与实践经验（如Neo4j、Nebula Graph），能将企业数据字典、业务指标、表关系构建为可查询的语义网络。 ④ 理解元数据驱动的数据治理理念，有DataHub、Apache Atlas等工具使用经验者优先。 4、全栈与数据工程基础： ① 精通Python，扎实的SQL功底，熟悉至少一种大数据查询引擎（Presto/SparkSQL/Hive等）。 ② 对数据中台、数仓分层、ETL流程有深入理解，能直接与数据架构师沟通并落地智能体服务。 ③ 有前端/可视化能力加分（如ECharts、D3.js、AntV），能独立完成智能图表的前后端联调。 加分项 在ACL、EMNLP、NAACL等顶会发表过Text-to-SQL、NL2SQL、知识图谱增强相关论文，或知名开源项目贡献者。 熟悉多智能体协作框架（AutoGen、CrewAI等），有数据分析Agent流水线设计经验。 对国内主流大模型（百川、智谱等）有实际调优经验，能灵活切换底层模型以适配信创环境。
Supply Operation Quality Supervisor-Shanghai/Suzhou,辉瑞投资有限公司,1.5-2.5万,上海·静安·南京西路,5-10年,大专,外商独资,10000人以上,医药制造,已上市,"职位描述 1、Quality Assurance & Inspections and Internal Audit● Assists with the timely implementation of applicable quality management systems (SOPs) within the PCO.● Assists with ensuring initial and continuous training programs are implemented and maintained for all relevant PCO colleagues.● Ensures planned, permanent & temporary changes of GMP/GDP related activities & systems are managed & documented appropriately. Ensures change actions are completed as per agreed timelines.● Collects key quality performance indicators, evaluates and highlights any significant trends and identifies actions.● Monitor Key Performance Indicators (KPIs) of the QMS, evaluate and highlight significant trends, and identify actions. Leads and/or participates in Quality Review Meetings as required.● Provides support in the preparation and coordination of any Health Authority (HA) inspection and/or internal Pfizer audits of GMP/GDP activities in the PCO.● Work with local cross functional team to define appropriate action plans to address the inspection/audit observation and tracks action implementation within the agreed timelines.● Participates in the self-inspection program as an auditor and/or auditee, as required.● Leads and/or participates in the Quality Risk Management program for the consistent application, documentation and communication of risks to product quality/patient safety in support of GxP activities under the remit of SOQ.2、Local Product Disposition & Resolution of Product Quality● Perform the local release process of Products under the PCOs distribution license, as required.● Supports the coordination of all Product repackaging and/or relabeling activities in the PCO and at the third-party packaging site. Review and approve documentation related to the repackaging and/or relabeling of Pfizer Product, as required.● Actions Quarantine Alert Notifications promptly, as needed.● Ensures quarantine shipments are managed compliantly according to procedures, as required.● Provides support for any market action operation in the PCO, as required.● Complaint Handling – Perform Intake and Triage, issue correspondence letter as required. Acts as a contact point for Regulatory Agency/reporter in the PCO, as required.● Lead and/or participate in deviation investigations using appropriate tools and works with cross-functional teams to implement CAPAs.● Notify Management of significant concerns or deviations within the QMS which have the potential to impact product, regardless of release status. Where issues originate in the PCO, assist with the preparation of QRT meetings, where required. Assist with the implementation of local actions identified during QRT.● Management of relevant corrective and preventative actions (CAPA)3、Supplier Quality Management● Execute tasks associated with the management of GxP Suppliers including qualification, quality oversight in accordance with internal and regulatory requirements for GxP activities.● Assists with ensuring appropriate customer screening processes are in place to align with Pfizer and local regulations, as required.● Assist with the coordination of RQA audits at the Supplier.4、Leadership Skills● Facilitate development and execution of objectives / projects consistent with SOQ Purpose Blueprint.● Development and Maintenance of Quality culture, within the team and organization.5、Local Requirements● Responsible for operation under GSP license.● Responsible for IDC importation testing/surveillance testing.● Responsible for Annual Product Report/Annual Product Quality Review Report completion as needed for regulation requirements.● Support other required from local regulations.Here Is What You Need (Minimum Requirements)● A minimum Tertiary Education in Science, Pharmacy or related discipline.● A minimum of 5 years in the pharmaceutical industry in a quality role● Demonstrated ability to influence, when necessary, particularly with stakeholders and external parties.● Experience in GSP and QMS.● Technical writing and reporting● Licensed Pharmacist is preferred● Fluent in English (written & verbal)Bonus Points If You Have (Preferred Requirements)● Experience in quality administered systems● Strong organizational skills and attention to detail● Experience with regulatory compliance and documentation● Ability to mentor and review the work of other colleagues● Experience using common AI tools, including generative technologies such as ChatGPT or Microsoft Copilot, to support problem solving and enhance productivity. Demonstrated curiosity for exploring how these tools can improve outcomes and understanding of responsible AI practices, including risk management and ethical usePfizer is an equal opportunity employer and complies with all applicable equal employment opportunity legislation in each jurisdiction in which it operates.Quality Assurance and Control"
AI Agent开发工程师,上海信息人才服务有限公司,2-2.5万,上海·徐汇·龙华,1-3年,本科,国企,100-299人,人力资源,,职位描述 工作职责：1. 负责开发基于AI Agent的业务应用，如智能客服、文档自动处理、数据分析助手等。2. 使用LangChain、AutoGen、Dify等低代码/无代码Agent开发工具或框架，快速实现业务需求。3. 负责Agent应用的前端、后端或接口开发。4. 协助设计Agent的工作流程和交互界面。5. 进行Agent应用的测试和部署。 任职资格：1. 教育背景：计算机相关专业本科或硕士，或同等学历。2. 核心能力：熟练掌握至少一门编程语言（如JavaScript/TypeScript、Python、Java、Go）。3. 专业知识：了解Agent的基本概念和常用框架（如LangChain）；熟悉前端/后端/移动端开发技术。4. 实践经验：有使用LangChain、AutoGen等框架或工具的经验；有全栈开发或相关项目经验。5. 工作年限：3～5年，agent开发需要1年以上 人物画像技术栈要求技术栈：掌握前端技术栈（React/Vue/TypeScript等）或后端技术栈（Java/Python/Node.js等）；了库操作和API设计；熟悉基本的开发流程和工具。 加分项：有LangChain、LangGraph、AutoGen等框架的实战项目。掌握至少一种前端或后端主流框架。有独立开发项目的经验。
AI Agent,上海宽文是风软件有限公司,2-2.5万,上海·长宁·新泾,3-5年,大专,合资,100-299人,软件/IT服务,,职位描述 岗位要求：1、扎实的 ML 基础：能讲清楚 Transformer —— Attention、位置编码、KV Cache、Tokenisation、采样策略 —— 不含糊其辞。至少完整读过几篇核心论文，不是只看 Abstract。2、深入的 LLM 应用经验：在 Frontier 模型（Anthropic、OpenAI、Gemini、开源权重）之上交付过多个生产系统。熟悉实际的边界情况：Tool Use 稳定性、结构化输出失败模式、长上下文退化、Prompt 注入防御、成本控制。3、Agent 系统深度：做过真正有 Agent 行为的系统 —— Planning、Memory、工具编排、多步执行、错误恢复 —— 而不是一个 Prompt 套在循环里。有多 Agent 协作经验（委派、子 Agent 协议、MCP 风格的工具服务）者强烈优先。4、多模态经验：在视觉语言模型、文档智能（OCR、版面、表格）或音频方向有实战经验 —— 从数据摄入到有依据的输出，端到端都做过。5、扎实的工程能力：高级 Python —— async、类型、测试、打包、可观测。能读懂并在大型代码库中定位问题。Git 规范让 Reviewer 生活更轻松。6、生产思维：指标、告警、评估门禁、安全发布。能想到凌晨三点模型提供商降级时会发生什么，而不是只关心 happy path。7、熟练使用现代 Coding Agent。每天把 Claude Code / Cursor / Copilot / 同类工具作为效率倍增器来用。知道它们在哪里表现好、在哪里会失败，能设计 Prompt、上下文和工具边界来充分压榨它们的能力。8、语言沟通：英文读写与口语流畅。多语言加分。优先1、有公开 ML 工作：论文、Workshop 投稿、开源项目、有深度的技术博客，能体现独立思考的。2、有在开源 LLM 上做 Fine-tuning、蒸馏或 Post-training 的经验（SFT、DPO、RLHF、LoRA），即使规模不大也可以。3、有向量检索、RAG、大规模重排的经验。4、有交付生产级评估基础设施的经验（评估集、在线 Judge、LLM 系统的 A/B 测试）。5、有 Cloud-Native 生产经验：容器化服务、CI/CD、可观测性（OpenTelemetry、Trace / Metric / Log）。
Sales Manager_Oil &Gas,福伊特中国,面议,上海·闵行·颛桥,5-10年,本科,外商独资,1000-9999人,电气机械/电力设备,,"职位描述 ResponsibilitiesCRM: Be responsible for front line sales directly with key accounts, End-Users, Design Institutes, EPCs or OEMsDeveloping relationships with various decision makers within complex accountsSupporting and developing the regional strategy to grow new business in the field of Power, Oil & Gas as well as future industry applications and trendsDevelop a business plan for assigned region and accounts, derive action plan and actioning itCooperation in an international sales team beyond national bordersIdentifying opportunities and filling the project pipeline (especially in the O/G upstream, midstream and downstream segments)Preparing and giving presentations, training sessions, analyses, etc.Ensure Voith Industry products to be on AVL and get Voith technology specifiedRegularly visit of Key customers; Frequent business travels up to 50%Requirements:Minimum Bachelor’s degree from an accredited university in mechanical, industrial engineering or electrical engineeringIdeally 5-8 years professional business experience in technical sales in the field of the Oil & Gas marketDeep technical knowledge of products (related to rotating equipment/turbomachinery e.g. centrifugal compressors 1MW – 50 MW and pumps (main focus) incl. of drivers such as electric motors, gas or steam turbines, gearboxes and opportunity to deeply understand applications of customersStrong experience in entering untapped markets and generating new businessStrong experience of relations establishment and conducting commercial and technical negotiations on various levels of decision makers (specialists, middle management level, C-level)Enthusiasm for consultation-intensive mechanical and electrical systemsExpertise with preferably network in Oil & Gas and Power Industry sectorTeam player with excellent interpersonal and communication skillsFluent in English is a must Able to organize international business meetings and travel independently; ability to travel up to 50%Team player with excellent interpersonal and communication skills"
AI Agent 工程师,上海策茂信息技术有限公司,7000-10000元,上海·浦东·周浦,1-3年,本科,20-99人,软件/IT服务,,,职位描述 职位介绍：1、需求挖掘与梳理组织需求研讨收集、整理和分析客户的需求并输出相应的需求文档。2、AI应用搭建与调试推动AI技术团队进行AI应用的搭建工作，对搭建完成的AI应用进行全面的测试和优化，推动解决应用过程中出现的技术问题，确保AI应用的稳定性、准确性和性能满足业务需求，能够正常上线运行。3、项目推进与沟通协作制定AI项目计划和时间表，推动AI技术团队和业务团队按计划开展项目，协调解决项目执行过程中的各类问题，确保项目按时交付。4、AI技术研究与应用设计持续关注AI领域的前沿技术动态、行业应用案例（尤其是与汽车、零售、制造业相关的AI应用），深入理解AI的原理和核心技术（如机器学习、自然语言处理、计算机视觉、推荐系统等），提出创新性的AI应用方案和实现路径，以及解决方案。5、知识沉淀与分享总结AI需求挖掘、应用设计、搭建调试过程中的经验和教训，形成相关的技术文档、、知识手册，沉淀公司AI技术应用的知识库，为后续类似项目提供参考。技能要求：1、需求挖掘与分析能力具备敏锐的业务洞察力和需求挖掘能力，能够快速理解客户的工作流程和业务逻辑，准确识别业务痛点和AI应用机会，善于从业务需求中提炼出清晰、明确、可实现的AI需求。2、项目实战与问题解决能力具有独立搭建和调试AI应用的实战经验，能够主导或参与完成至少一个完整的AI应用项目（从需求挖掘到上线运维的全流程），熟悉AI项目的开发流程、方法和工具。具备较强的问题分析和解决能力。3、沟通协作与学习能力拥有良好的沟通表达能力和跨部门协作能力，协调各方资源，推动项目达成共识和目标。具备强烈的学习意愿和快速学习能力，能够及时跟踪AI领域的技术发展动态和行业应用趋势，不断学习和掌握新的AI技术、工具和方法，并能快速将其应用到实际工作中，适应公司业务发展和技术创新的需求。4、行业认知能力了解汽车、零售、制造业的业务特点和发展趋势，熟悉相关行业的业务流程和痛点，能够结合行业特性提出更具针对性的AI应用方案者优先考虑。经验要求：1、至少1年以上AI需求挖掘、AI应用设计或AI项目开发相关经验。2、有成功将AI技术应用到实际业务场景（如产品研发优化、生产过程智能化、市场营销精准化、客户服务高效化等）的项目案例者优先。3、熟练使用市面成熟的AI工具，如Coze、Dify等，熟练使用飞书等办公协同平台。4、具有较强的责任心和敬业精神，能够承受一定的工作压力，积极主动地完成工作任务。5、具有创新思维和探索精神，乐于尝试新的技术和方法，能够为公司AI技术应用提出创新性的思路和方案。6、具有良好的团队合作精神，与团队成员积极协作，共同推动公司AI业务的发展。
