岗位名称,公司名称,薪资范围,工作地点,学历要求,经验要求,公司规模,公司行业,福利待遇,职位信息
AI人工智能销售 风口行业高速发展 行业领先,探域科技,20-40K,广州,学历不限,经验不限,100-499人,计算机软件,股票期权|团建聚餐|底薪加提成|节日福利|保底工资|五险一金,注意！！！如果你勤奋boss好学，想挑战来自高薪，请主动联系我！！！ 【我们为你提供】 1、无责底薪+高提成+奖金，薪资天花板⾼！ 2、⼊职即享⼀周带薪培训，师傅一对一专业带教⼿把手教你快速上岗！ 3、试用期就买五险一金+节日礼物+年度体检+结婚生子大红包+带薪年假等； 4、不定时免费下午茶+水果，季度性、年度性免费省内外旅游； 5、同事均为90-00后，公司扁平化管理，工作氛围轻松愉快； 6、阿里红杉投资头部企业，快速发展期，晋升空间大； 7、主管上级和同事们大多是阿里、百度、字节等互联网大厂优秀销冠及管理骨干，有实力、用心培养团队，共进退！ 【我们需要你】 1、我们销售的产品：电商AI智能体智能客服机器人（行业最有竞争力产品） 2、公司提供拓客系统，专业的管理帮忙谈单高效转化，只需要你通过电话邀约到客户，管理陪同上门谈单，高转化率！ 【我们希望你】 1、良好的沟通表达能力和学习产品的能力； 2、了解过SaaS软件行业或互联网B端行业的优先； 3、能适应高强度的工作压力，喜欢挑战高薪。 【晋升空间】 1、晋升频率：业绩优秀者最快5-8个月晋升主管岗; 2、管理线：销售专员--储备主管--销售主管--城市经理--区域负责人-事业线负责人； 3、专业线：初级销售——中级销售——高级销售——资深销售——产品专家。 【公司优势】 1、公司层面: ①产研团队实力强，产品更新迭代快； ②专业的售后团队，24小时响应客户需求； ③投资方背景强大(阿里投资，启明创投，红杉资本)，现金流正常； 2、团队层面: ①带薪培训； ②1对1师傅带教； ③年轻团队，氛围超好!!! 3、个人层面: ①提成高，最高30%; ②晋升机会多； ③工作氛围轻松：90后00后志同道合的小伙伴，正能量满满，一起努力工作快乐成长！团队氛围超好！！！ 大数据人工智能热门行业，平台发展前景广阔，加入我们一起创事业！ 【公司介绍】 探域是电商全域智能增收专家：让天下没有难做的电商，助力电商全域实现数字化增长，电商全域智能营销saas平台，以消费者触点为核心，助力品牌全域数智化运营，实现高质量增长，资方是阿里、红杉、软银等。
AI人工智能/营销顾问/五险一金/提成29,珍岛集团,11-21K,广州,大专,经验不限,1000-9999人,互联网,保底工资|绩效奖金|通讯补贴|零食下午茶|员工旅游|节日福利|全勤奖|股票期权|底薪加提成|带薪年假|团建聚餐|五险一金,"boss一.选择boss我们的几个理由 公司提供客户资源电话联系中小企业客户，提boss供相应的产品解决方案 1)公司前程似锦:19年获得国务院颁发国家科技进步⼆等奖,2020年被国家⼯信部加⼊到国内企业数字化转型供应商服务及产品推荐目录;同年获得上海科技进步一等奖;2022年两会期间，作为数字化赋能标杆企业，亦被《中国新闻》两会专刊以及新华社官⽹特别报道。 2)收入日进斗金:均薪15K+，销冠30W+，提成/奖金随心拿 3)氛围朝气蓬勃:扁平化/透明化管理，90后团队 4)产品需求:硬性刚需业务，B端企业客户需求非常大,开单率高 二、薪资待遇 1.试用期无责底薪4950-8000元+提成9-29%，最高档可达10800底薪，行业内头部! 三.岗位要求 1、，大专及以上学历 2、有无经验皆可(90%的销售都没有互联网行业经验(我们有完善的培训给你信心) 3、有目标，居安思危的人，面对困难，勇于挑战，积极创新的人 4、性格外向、有亲和力喜欢销售岗位不排斥电话邀约: 5、想赚钱想晋升有抱负有理想能抗压的小伙伴。 6、高效工作，轻松工作! 四.社会保障 1、按照国家规定缴纳五险一金(入职即缴纳)，员工入职一律签署正式劳动合同。 2、法定节假日带薪休假以及超长带薪年假 五、温馨的员工关怀 1、人手一台“高配""手机，上班不用每天切换账号; 2、内部员工免费学习管理培; 3、入职5+1的福利待遇 4、丰富下午茶、生日会等各类活动，致力于让每人小伙伴都能感受到满满的美食关怀 5、公司内部健身房、按摩椅、瑜伽室等等，免费对所有员工提供; 六、全面的专业培训 入职均有系统化的培训，让你能够快速掌握产品，职中培训惯穿你在珍岛的整个职业生涯;对于晋升成功的伙伴，有系统的管理培训，更有“黄埔少将班”让你能够快速掌握如何成为一名合格的总监，更高阶管理的培训。"
人工智能音乐校正员,广州动态音乐工作室,20-25元/时,广州,学历不限,1-3年,20-99人,文化艺术/娱乐,,工作周期：长期兼boss职 每周工期：5天及以上 工作时间：不限 工作时段：工作日 结算方式：月结 招聘截止时间：2025-11-27 工作内容： 1. 对批量生成的 MIDI 文件进行人工校对和修正 2. 确认每句人声 MIDI 音符与原音频匹配，包括音高、节奏、连音、滑音等 3. 修正错误音符，调整时值和力度，保证 MIDI 可直接用于 DAW 编曲/混音 4. 对特殊音高技巧（抖音、滑音）进行合理处理 5. 输出最终高质量 MIDI 文件并标注修正记录 岗位要求： 1. 熟悉 MIDI 文件结构，了解 DAW 操作（如 Cubase、Logic、Ableton） 2. 熟悉音乐基础知识，音准、节奏敏感度高 能识别人声旋律并调整音符（音高、时值、力度） 3. 有一定音频/音乐制作经验者优先 4. 有耐心，能批量处理大量音频/ MIDI 文件 工作形式： 可以远程操作 上岗前需做测试，通过后线上培训对齐即可开工，若无法坚持或每日时间无法保证 4 小时勿扰
ai人工智能开发工程师,广州尚夏网络有限公司,12-17K,广州,大专,3-5年,20-99人,电子商务,,注：公司位于佛山新城世纪莲地铁站旁边，交通便利，为免浪费彼此时间，请考虑此地址再咨询，谢谢！ 岗位职责： 1. 负责基于OpenClaw (小龙虾)、LangChain、LangGraph、AutoGen 或 LlamaIndex 等主流Agent框架进行AI应用的设计与开发； 2. 设计、开发和集成⾃定义 Skills（技能插件），构建完善的插件⽣态系统； 3. 使⽤Python自动化库实现高效的任务处理与流程⾃动化； 4. 在Windows/macOS/Linux多环境下完成项目依赖管理，熟练使用Poetry、pip、conda等工具； 5. 参与Node、TypeScript及JavaScript相关技术栈的开发与集成工作。 任职要求： 1. 熟悉OpenClaw (小龙虾)、LangChain、LangGraph、AutoGen 或 LlamaIndex 等主流Agent框架； 2. 具备自定义Skills/插件的设计、开发与集成能力； 3. 熟练掌握Python自动化库及相关开发实践； 4. 具备在Windows、macOS、Linux系统下进行多环境依赖管理的能力，熟悉Poetry、pip、conda等工具； 5. 熟悉Node、TypeScript和JavaScript开发。 6.有做过电商类AI项目更佳。 注：公司位于佛山新城世纪莲地铁站旁边，交通便利，为免浪费彼此时间，请考虑此地址再咨询，谢谢！
人工智能训练师推广,广州象九数字传媒,90-95元/时,广州,中专/中技,经验不限,0-20人,广播/影视,,来自工作周期：长期兼职 每周工期：无boss要求 工作时来自间：不限 ⼯作时段：不限 结算⽅式：⽇结 招聘截止时间：2027-05-26 1. 推广执⾏ 2. 咨询与转化 备注: ◦在广州考取人工智能训练师三级（高级工），可领补贴如下（2026年现行政策）： 补贴金额 - 广东省基础补贴：2400元 ​ - 广州，佛山紧缺工种上浮30%：3120元 关键说明 - 人工智能训练师属于广州紧缺急需职业，补贴上浮30% ◦ 管理招生社群，定期推送行业动态（如2026年AI岗位缺口增长率达512%）及证书优势（国家认证、终身有效），提升转化率。 3. 数据跟踪与反馈 ◦ 统计潜在学员信息及报名进度，定期提交推广效果报告，优化招生策略。 任职要求
人工智能方向 税后6-8k双休AI数据标注员,万声通讯实业有限公司,6-8K,广州,本科,3-5年,10000人以上,电子商务,晋升空间大|餐补|五险一金|零食下午茶|生日福利|双休|企业管理规范|全勤奖|节日福利|交通补助|团建聚餐|带薪年假|通讯补贴|夜班补助|工龄奖|年终奖,工boss作时间：9：30-18：30，boss双休，要求工作稳定性 岗位职责： 1、理解掌握模型标注标准，快速学习项目的标注规则与要求，对涉及政治、违法、色情等不良信息鉴别及分类 2、根据相关规则，负责对⽂本、图⽚、图⽂、视频等相关数据进行安全类别标注、框选: 3、根据模型训练的需要，进行对话语料的编写和修改，提升语料的整体质量; 4、了解标注背景及基础模型逻辑，能发现标注过程中的异常问题，并及时反馈; 5、能按要求进⾏标注相关数据录入、整理、分析、输出； 任职要求： 1、具有一定的政治敏锐感及文学功底，对于特定内容、图像等数据敏感，能对内容有较好的判断力; 2、具有较好的问题理解、学习和逻辑思维能力，能胜任重复性工作; 3、有数据标注/审核经验或文字撰写经验，具备一定数据分析能力者优先考虑; 4、拥有AI相关标注经验或标注质检经验者、对人工智能机器学习的相关基本原理有一定了解的优先考虑
AI人工智能实习生,米袋软件,150-200元/天,广州,本科,,20-99人,计算机软件,零食下午茶|节日福利|带薪年假|员工旅游,"任职资格： 熟悉主流的AI大模型，包括：OpenAI, Llama, 通义千问，DeepSeek等 熟悉主流的AIGC应用开发框架，如：LangChain，能够独立开发RAG和Agent应用 熟悉人工智能和机器学习的核心概念和算法，包括深度学习、NLP 和 CV； 熟悉向量数据库，Milvus，FAISS，Pinecone，Weaviate； 岗位职责 1. 探索人工智能或 LLM 模型在各种业务场景中的应用，并提供技术支持； 2. 探索MCP（模型上下文协议）和A2A（Agent-to-Agent协议）实现； 2. 负责公司人工智能项目的整体架构设计，包括模型训练、推理、部署和监控； 3. 评估合适的人工智能技术和工具，包括硬件、软件和云服务； 4. 设计可扩展、高性能、安全可靠的人工智能解决方案，以满足业务需求； 5. 评估并选择合适的人工智能技术和工具，包括硬件、软件和云服务； 6. 研究和探索如何高效地训练、微调和部署人工智能模型。"
AI人工智能销售（互联网、外贸、高薪）,聚焦网络,15-20K,广州,大专,1-3年,500-999人,互联网,零食下午茶|保底工资|餐补|绩效奖金|五险一金|晋升空间大|底薪加提成|节日福利|年终奖|带薪年假|员工旅游|交通补助,岗位职责： 1、通过公司给的资源以电话的形式邀约寻找意向客户，主动积极的寻找潜在客户，建立客户大数据平台。 2、通过电话并结合网络形式等各渠道联系外贸营销需求客户，邀约客户至公司或公司举办的会议营销活动成交； 3、做好市场调研数据收集，对市场上相关行业行业话术、产品、等相关业务资料，以更好地做到业务开展支持； 4、可纯电销； 任职要求： 1、有销售经验、电销经验优先； 2、性格开朗、工作积极热情、踏实肯干、胆大心细； 3、普通话标准，具备良好的沟通能力，抗压能力及团队协作能力； 4、热爱电销，敢于挑战高薪，有志晋升，挑战更高职位； 5、能够在压力模式下工作，以及具备快速适应能力。 6、接受无经验的优秀应届生。 平台优势 1、带薪培训----免费提供专业的岗位培训，由资深培训导师对员工进行专业知识及技能培训； 2、品牌出海领域服务商家最多的B端人工智能SaaS软件营销公司。 3、大平台及广阔的晋升通道；三月当组长，半年当主管，一年当总监，三年当老板。 4、交通便利、广州琶洲CBD 磨碟沙地铁站出口即到。 福利待遇： 1、有五险一金，国家法定节假日带薪休假（按照国家规定正常放假）； 2、公司团队年轻活力，团队年轻好相处； 3、公司注重人文关怀，节日福利以及不定期下午茶、聚餐，各类团建活动； 4、带薪免费培训，更有老员工帮助指导，增强个人能力，直到上手为止。 5、待遇：无责底薪6000+1000绩效+高额提成，待遇真实有效，了解过我们产品的都知道，我们已经站在市场的风口上，就等着我们飞起来，遍地都是黄金~
AI训练师（人工智能）,广州火羽信息科技,8-13K·13薪,广州,本科,在校/应届,100-499人,游戏,年终奖|补充医疗保险|团建聚餐|零食下午茶|餐补|夜班补助|工龄奖|加班补助|节假日加班费|节日福利|意外险|绩效奖金|生日福利|员工旅游|包吃|带薪年假|定期体检|全勤奖|五险一金,投递附上您的游来自戏AI的尝试和学习哦 以及来自您的游戏经历 岗位职责： 1主导 AI 技术在游戏项目中的落地应用，核心负责 AI 生成图⽚、脚本、推⼴⽂案等内容的策划与执行。 2.负责 AI 模型的基础训练与优化，结合游戏应用场景，整理数据、优化 Prompt 策略。 3.搭建 AI 项⽬流程，制定 AI 内容生产、审核、优化的标准规范，统筹协调 AI 相关项目的推进进度。 任职要求： 1.本科及以上，计算机、AI、数据等相关专业，有 AIGC/AI 项目经验优先。 2.熟练使用 Midjourney、Stable Diffusion、ChatGPT 等 AI 工具，懂 Prompt 优化。 3.能独立统筹 AI 项目，具备项目运营与数据分析能力。 4.沟通逻辑强，可快速将业务需求转化为 AI 应用方案。 5.热爱游戏与 AI 技术，学习能力强，有创新意识。
人工智能训练师,广州芷珩网络科技,8-13K,广州,本科,经验不限,0-20人,互联网,,岗位职责： 1、参与人工智能模型的训练数据标注与优化，确保数据来自质量； 2、根据算法需求对文本、图boss像、语音等多模态数据进⾏清洗与处理； 3、配合技术团队完成模型迭代过程中的反馈与测试任务； 4、持续提升数据标注的准确性和⼯作效率； 任职要求： 1、具备良好的逻辑思维能⼒和细节把控能力； 2、熟悉常用办公软件，能熟练操作计算机； 3、有较强的学习能⼒，能快速理解业务规则与标注标准； 4、工作认真负责，能够承担一定强度的重复性任务；
