岗位名称,公司名称,薪资范围,工作地点,学历要求,经验要求,公司规模,公司行业,福利待遇,职位信息
1w+AI人工智能销售+29%高提成+五险一金,珍岛集团,13-17K,深圳,大专,经验不限,1000-9999人,互联网,团建聚餐|员工旅游|五险一金|节日福利|绩效奖金|零食下午茶|通讯补贴|股票期权|底薪加提成|保底工资|带薪年假|全勤奖,已上市（集团性公司，全国4000+员工） 工作内容： 通过电话销售+面谈的形式与客户对接，了解客户的需求，制定产品方案； 跟进渠道商的⽤户拓展情况，积极推动⽤户增长，完成公司下达的招商任务; 负责市场调研和需求分析，掌握竞争对⼿市场动态，为公司发展提供建议。 岗位要求： 全日制本科及以上学历，专业不限； 对互联网⾏业有浓厚兴趣且考虑在营销领域发展； 有较强的学习能力、沟通能力和适应能力； 性格外向，喜欢做与人打交道的工作。 发展方向： 纵向成长：营销储备干部-智能营销顾问-主管-经理-总监 横向成长：见习智能营销顾问-智能营销顾问-经理-商务/助理/行政/人事（转岗） 培养模式： 入职的前三周：由培训组统一培训 入职的前半年：由部门配带教师傅一对一带教，带教目标部门主管 应聘流程： 报名面试-参加测评-面试-录用-入职 其他： 上班时间：9：00-18：30 ，法定节假日正常放假； 入职购买五险一金（需有毕业证）、员工宿舍、员工餐厅、带薪培训、带薪年假、年度旅游、定期团建、生日祝福、节日福利等； 享有带薪培训--系统的岗前培训、岗中培训，团队经理对新人带教培训，日常工作中不定期举行各类职业培训； 公司设有按摩房、美甲室、娱乐室、健身房等娱乐设施提供给员工使用； 人脉：企业级客户，从业期间积攒高质量资源人脉； 氛围：互联网公司，年轻化团队 open 愉悦的工作氛围；
AI大模型人工智能实习生,马丁鱼科技有限公司,100-150元/天,深圳,大专,,0-20人,移动互联网,五险一金|年终奖|股票期权|带薪年假,岗位职责: 在导师、项来自目经理的指导下落地AI大模型人工智能相关项目 来自任职要求: 1、计算机相关专业，熟悉至少一门开发语言、了解ChatGPT。 2、有部署大模型、调试大模型经验者优先。
【AI人工智能】+T0B销售+轻松月入过万,探域科技,15-30K,深圳,大专,经验不限,100-499人,计算机软件,底薪加提成|团建聚餐|节日福利|股票期权|保底工资|五险一金,岗来自位职责: 1. 负责AI⼈⼯智能产品的市场推⼴与来自客户开发 2. 挖掘客boss户需求，提供解决方案并推动合作落地 3. 维护客户关系，提升客户满意度与复购率 任职要求： 1. 善于沟通、按时完成上级交给的工作 2. 拥有良好的团队合作精神，能迅速融⼊团队 3. 具备良好的学习能力，能够不断改进工作方法
AI人工智能销售（客源充足）,探迹,15-30K,深圳,大专,经验不限,1000-9999人,互联网,五险一金|定期体检|加班补助|通讯补贴|零食下午茶|节日福利|年终奖|员工旅游|定期团建|全勤奖|餐补|带薪年假|股票期权|补充医疗保险,办公点：深圳市宝安区新安街道稻兴环球科创中心B来自座1208 【公司简介】 探迹科技成立于2016年，作为中国智能销售领域的开创者，成功入选”广州独角兽企业“排⾏榜，产品集⼤数据、⼈工智能双优势，目前已服务全国超 10000 家企业客户，其中包括阿⾥巴巴、 中国移动、今日头条、分众传媒等行业巨头。与此同时，探迹还获得了红杉资本、阿里巴巴、启明创投等顶级资本的投资，2021年完成了3亿元B+轮融资。 【我们需要你】 1、我们销售的产品：互联网SaaS智能拓客软件，帮企业的销售团队找客户； 2、公司提供资源+自拓资源，负责销售全流程转化，需要你通过电销+网销联系企业CEO/销售总监/团队负责人等KP(关键人物)的洽谈、跟进和转化； 3、签单方式：线下主管&师傅陪访，客户现场讲解产品，直接签单拿高提成（最快40分钟成交），每月金牌、银牌、达人奖等激励奖励非常丰厚！ 【我们希望你】 1、大专及以上学历，半年销售经验； 2、良好的产品演示能力、商务洽谈能力和学习产品的能力； 3、了解过SaaS软件行业或互联网B端行业的优先，C端业绩优秀者亦可； 4、能适应高强度的工作压力，喜欢挑战高薪。 【我们为你提供】 1、底薪+销售额提成提成10%-20%+月度业绩奖金，综合收入15-30K，月底发当月工资； 2、入职就买五险一金＋入职体检费用报销； 3、每周免费下午茶＋水果，季度性、年度性免费省内外旅游； 4、节日礼物＋生日红包礼物＋结婚生子大红包＋各种好玩的party； 5、同事均为90-00后，公司扁平化管理，工作氛围轻松愉快； 6、 带薪休假5-15天年假＋法定节假日＋旅游假期＋婚假丧假生育假； 7、 主管上级和同事们大多是行业内优秀销冠及管理骨干，有实力、用心培养团队，共进退！ 【晋升空间】 1、晋升频率：每年晋升两次，调薪两次，业绩优秀者最快5-8个月晋升主管岗； 2、专业线：初级销售——中级销售——高级销售——资深销售——产品专家 3、管理线：销售专员——储备主管——销售主管——销售经理——区域负责人 【公司优势】 1、公司层面： ①产研团队实力强，产品每周更新迭代；②专业的售后团队，24小时响应客户需求；③投资方背景强大。（阿里投资，启明创投，红杉资本） 2、团队层面： ①带薪培训；②1对1师傅带教；③年轻团队，氛围超好！！！ 3、个人层面： ①提成高；②晋升机会多； 90后00后志同道合的小伙伴，正能量满满，一起努力工作快乐成长！团队氛围超好！！ 大数据人工智能热门行业，平台发展前景广阔，加入我们一起创事业！
人工智能数据采集员,深圳晨昏线科技,100-120元/天,深圳,本科,,0-20人,人工智能,节假日加班费|加班补助|有无线网|保底工资|零食下午茶|股票期权|底薪加提成|年终奖|员工旅游|五险一金|定期体检|绩效奖金|生日福利|带薪年假|团建聚餐|节日福利,一，岗位职责 1.配合 AI 机器来自人实验测试，按要求完成指定操作流程。 2.使用手柄、电脑或相关设备，对机器⼈进⾏基础操控与动作执⾏。 3.协助采集实验过程中的动作、状态及测试信息，完成基础记录整理。 4.根据测试要求，完成数据标注、过程反馈及异常情况记录。 5.配合现场实验人员完成其他与测试、⾤集相关的辅助性工作。 二，任职要求 1.年龄 18–***，男女不限，优秀应届生可考虑。 2.会基本电脑操作，能熟练使用常见电子设备。 3.身体协调性较好，能够配合完成站立、走动、手部操作等基础动作。 4.工作认真细致，执行力强，能按要求完成重复性测试任务。 5.情绪稳定，沟通顺畅，服从现场安排。 6.有 VR、手柄操控、游戏设备、实验测试相关经验者优先。 可连续到岗者优先，
软件开发工程师（人工智能平台后端）,华为技术有限公司,300-600元/天,深圳,本科,,10000人以上,计算机软件,离职补偿|夜班补助|定期体检|零食下午茶|绩效奖金|团建聚餐|节日福利|员工旅游|股票期权|生日福利|节假日加班费|补充医疗保险|五险一金|带薪年假|法定节假日三薪|交通补助|加班补助|保底工资|免费班车|年终奖,boss岗位职责： 1、负责产品/平台的软件需求分析、boss架构设计、代码开发、单元测试、集成测试、静态检查、本地构成、测试环境搭建、问题定位、资料开发等工作； 2、负责相关系统/模块的代码看护及重构，持续优化提升代码质量； 3、负责后端故障诊断和项目支持技术活动，包括产品维护、疑难问题解决、重大项⽬⽀撑等。 岗位要求： 1、计算机、软件、通信等相关专业； 2、热爱编程，基础扎实，熟悉掌握但不限于JAVA/C++/C/Python/JS/HTML/GO/Rust等编程语⾔中的一种或数种，有良好的编程习惯； 3、具备独立⼯作能力和解决问题的能力、善于沟通，乐于合作，热衷新技术，善于总结分享，喜欢动手实践； 4、对数据结构、算法有一定了解； 5、优选条件： 1）熟悉TCP/IP协议及互联网常见应用和协议的原理； 2）有IT应用软件、互联网软件、IOS/安卓等相关产品开发经验，不满足于课堂所学，在校期间积极参加校内外软件编程大赛或积极参于编程开源社区组织； 3）熟悉JS/AS/AJAX/HTML5/CSS等前端开发技术。
AI人工智能开发工程师,FOSHO自在必得科技,10-15K,深圳,本科,经验不限,20-99人,广告营销,团建聚餐|绩效奖金|带薪年假|零食下午茶|节日福利|五险一金|股票期权|有无线网|保底工资|年终奖|生日福利,工作职责： 1. 负责boss公司AI人工智能产品的研发和优化，包括算来自法设计、模型训练、数据分析等； 2. 与产品和业务团队密切合作，理解需求并提供技术解决方案； 3. 参与AI人工智能领域的研究和探索，跟踪最新技术发展趋势。 岗位要求： 1. 1年左右工作经验； 2. 本科以上学历，计算机、人工智能、数学统计相关专业； 3. 熟悉至少一种深度学习框架（例如TensorFlow，PyTorch等）； 4. 有大模型训练微调、RAG、Agent、数据算法开发实战经验； 5. 熟练掌握Python或C++编程语言，有良好的数据结构和算法基础； 6. 具备扎实的数学基础，熟悉机器学习、深度学习等相关算法； 7. 有较强的学习能力和创新精神，能够独立解决问题； 8. 有良好的团队合作和沟通能力。
人工智能训练师/五险一金/双休,广州安驰信息科技,10-15K,深圳,本科,经验不限,20-99人,批发/零售,,岗位来自职责： 1、参与人工智能模型的训练数据采集、清洗和标注工作； 2、根据算法需求对⽂boss本、图像、语⾳等多模态数据进⾏分类与标注； 3、配合技术团队优化标注规则，提升数据质量与标注效率； 4、定期反馈数据处理中的问题，协助改进训练流程； 任职要求： 1、具备良好的数据敏感度和逻辑分析能力； 2、熟练使用办公软件，能快速学习专⽤标注工具； 3、工作细致耐心，有较强责任心和团队协作意识； 4、对人工智能领域有基础认知，愿意长期在该方向发展； 5、22-30岁 6、全日制本科
人工智能材料研发（AI for science）,墨库集团,8-13K·13薪,深圳,本科,经验不限,500-999人,化工,宿舍有空调|五险一金|带薪年假|工龄奖|法定节假日三薪|团建聚餐|年终奖,boss岗位职责： 1、开展大语言模型研究，掌握模型微调和提示词等技术，将模型应用于boss知识管理。 2、基于⼤量科研数据，参与开发针对具体产品的垂直领域细分化⼯模型（主要为性能预测模型和配⽅推荐模型），提升材料的开发效率和精准度，具体产品包括各类关键树脂（合成）、各类墨水（复配）。并将基础模型微调并复制到相似产品上。 3、与科研人员协助，推动AI技术在材料发现、合成路径优化的应⽤落地。 4、辅助开发公司其他AI项目和具体工作流搭建。 任职要求： 1、本科以上、应届毕业生即可，计算化学、机器学习、材料化学等专业。 2、具有深度学习和机器学习基础，且有机器学习辅助材料研发的经验优先。 3、熟悉python编程语言，了解tensorflow、pytorch等框架。 4、能独立阅读文献，撰写研究方案，完成大模型的微调。 5、具有较强科研素养、快速学习能力以及责任心。
AI人工智能训练师-双休,千寻优选,8-10K,深圳,大专,1-3年,20-99人,电子商务,年终奖|加班补助|保底工资|全勤奖|员工旅游|绩效奖金|团建聚餐|带薪年假|节日福利|工龄奖|意外险|补充医疗保险|底薪加提成|五险一金|零食下午茶,该boss岗位需要到公司线下面试，如不能线下到面，请勿投boss递，感谢！ 【岗位核心】 本岗位专为公司Shopee虾皮台湾站点跨境业务设⽴，核⼼负责AI绘图、AI短视频⽣成模型的专项训练、调优、prompt优化、素材迭代与效果质控。 【岗位职责】 1.模型调优迭代：针对shopee平台台湾站3C、家居、户外等主营品类，负责AI图文、视频生成模型的⽇常微调、参数优化与迭代，修复画面变形、失真、模糊、场景违和等问题，保障输出内容标准化、高品质。 2.提示词体系搭建：贴合shopee平台规则及台湾本土审美、爆款视觉风格，搭建并迭代品类化、场景化Prompt词库，覆盖主图、详情图、带货短视频、种草视频等场景，实现批量高效稳定出片。 3.素材生产与质控：批量产出店铺所需产品图文、首页装修、引流短视频等素材，对AI成品进行审核、精修与优化，严格把控画面比例、画质及平台合规性，符合shopee平台上传标准。 4.风格适配更新：跟踪shopee平台台湾站爆款视觉趋势、本土流行审美及同行优质素材，定期更新训练素材库，优化模型输出风格，贴合当地用户喜好，提升产品点击率与店铺转化率。 5.素材库运维：分类整理优质素材、问题素材，搭建专属跨境AI训练数据集，定期复盘模型问题，针对性迭代训练，持续提升AI出图、出视频的精准度与质感。 6.内部团队赋能：梳理标准化AI素材生产流程、教程及模板，培训运营团队使用AI工具产出内容，降低人力成本，提升团队整体素材产出效率。 7.新技术落地应用：跟进主流AI绘图、AI视频工具的新功能、新技术，结合虾皮跨境业务场景测试落地，持续优化内容生产流程与效率。 【岗位要求】 1.核心技能：熟练掌握Midjourney、Stable Diffusion、可灵、Runway等主流AI图文、视频工具，精通图文/视频生成、场景替换、画面修调、参数调试、Prompt优化，可独立解决AI生成各类画质、比例、光影问题。 2.行业认知：熟悉shopee平台台湾站规则与电商运营逻辑，了解3C、家居、户外等品类视觉展示要求，熟知台湾本土电商审美，有跨境AI内容、电商视觉相关经验者优先。 3.模型素材能力：具备素材筛选、分类、优化及数据集搭建能力，可独立完成模型迭代优化，能结合平台爆款数据、运营反馈持续优化AI出片效果，适配电商转化场景。 4.视觉审美：具备优秀电商审美，精通构图、光影、色彩搭配，熟悉电商主图、详情、短视频爆款创作逻辑，可精准把控素材质感、合规性与吸引力。 5.赋能总结能力：逻辑清晰，擅长流程标准化总结，可独立制作操作教程、模板，完成团队AI工具赋能培训，落地批量高效的内容生产模式。 6.个人素养：对AI新技术敏感度高，学习能力强，工作严谨细心，具备复盘迭代意识和高效执行力，可适配店铺常态化素材迭代生产需求。 【您关心的关键福利与成长】 【公司亮点】 1、Shopee平台，全是台湾本土账号，台湾自建仓，当天的订单当天能发走，需要认证的产品有做相关认证（BSMI） 2、公司配有产品开发、采购、物流等岗位，并有深度合作的供应链 【主营类目】 1、核心品类：家居类、3C类、户外露营、小家电等 2、主营平台：Shopee台湾站点、印尼站点等 【团队氛围】 95/00后年轻团队，协作高效，成长互助 | 每月下午茶，休闲放松 【晋升双通道】 1、专业晋升：助理→初级→中级→高级 2、管理晋升：专员→组长→主管→经理（90%管理岗内部提拔） 【工作时间】 双休制，5天8小时。上班时间：9:00-12:30/13:30-18:00。 【薪酬福利】 1、薪资构成：底薪+绩效+奖金/提成+加班补贴+全勤奖，以能力定薪，挑战高收入 2、弹性转正：试用期3个月，能力优异可提前转正 3、基础保障：入职即缴六险一金，公司额外补充缴纳商业险 4、超全假期：法定节假日/年假/婚假/产假等带薪假期 5、特色福利：节日礼品/礼金+不定期部门团建/聚餐+免费零食、饮料供应 【办公环境】 1、高端写字楼，地铁旁通勤便利 2、茶水间配备冰箱/微波炉（自带午餐友好） 3、商圈配套完善（吃喝玩乐全覆盖） 【加入指引】 1、地址：深圳市龙岗区平湖街道融湖广场创新中心1305 2、交通：10号线平湖地铁站C出口步行8分钟（导航融湖广场创新中心）
