岗位名称,公司名称,薪资范围,工作城市,经验要求,学历要求,公司性质,公司规模,公司行业,公司标签,职位描述
Agent开发工程师(AI社交),优途人力资源(武汉)有限公司,2.5-5万·15薪,广州·天河·天河南,3-5年,本科,300-499人,人力资源,,,职位描述 画像：（必须）有AI Native产品0-1搭建经验（至少是独立模块），Side project亦可（必须）创业精神，乐于探索新技术，具备AI Native的编码习惯和沟通习惯（必须）熟练掌握主流模型SFT/RL方法（必须）沟通能力强，能把抽象的技术原理与产品和研发沟通清楚核心工作：1、C端AI产品搭建：探索AI社交/游戏Agent的NEW佳技术实践。主导下一代AI陪伴（类比斯坦福小镇/Aivilization）或下一代AI-真人社交（类比微信/********）的产品开发。起到工程团队的技术带头人角色，主导AI Agent全生命周期开发，带领前后端工程师把业界NEW先进工程实践落实2、开源项目开发：参与公司战略级Agent Memory等Agent Infra云服务的0-1产品化开发、上线和迭代（目前性能在LongMemEval、LoCoMo、EverMemBench、CloneMem等Benchmark上动态保持No. 1-2）任职资格：1、教育背景：计算机科学、人工智能等相关专业本科及以上学历2、技术能力：对主流Agent框架、Context Engineering有深刻见解和实战经验；精通Go，Python，有活跃开源项目优先3、项目经验：2-5年工作经验，具有AI Agent产品0-1搭建经验
EEIT Buyer ID208998,捷普科技(上海)有限公司,8000-12000元,广州·黄埔·云埔,1-3年,本科,外商独资,10000人以上,半导体/芯片,,"职位描述 Job Profile: Purchasing ＞ General PurchasingSUMMARYWork within the materials rotation program (Materials, Planning and Purchasing departments) spending 6-12 months in each role.ESSENTIAL DUTIES AND RESPONSIBILITIES include the following. Other duties may be assigned.Inventory Analyst (6-12mos)- Responsible for monitoring all material transactions for assigned area(s).- Responsible for identifying, resolving, and finding the root cause of discrepancies and other related inventory errors.- Recommend changes that will eliminate or greatly reduce future inaccuracies from reoccurring.- Be flexible enough to work overtime, assist in material handling functions, and fill in for other Inventory Control personnel as required and as specified by the Inventory Control Manager.- Responsible for eliminating any manufacturing downtime associated with assigned area (where applicable).- Perform regular component cycle counts as required.- Perform inventory transactions and reporting on customer systems when required.- Assist in the development and implementation of any materials management systems that will enhance inventory control at Jabil Circuit.- Be able to interface with all departmental supervisors, support functions, engineering, program management, and other pertinent functions within the plant operations.Planner/Buyer I (6-12mos)- Participate in decision making of MPS loading through proper materials sizing.- Analyze, maintain, and execute Materials Requirement Plan (MRP). Continuously monitor and verify materials pipeline to ensure it meets the MRP requirements. Identify and appropriately address materials supply issues.- Ensure materials availability to support production per the Master Production Schedule through MRP execution, on-time delivery, and coordination of materials movement through receiving to production.- Proactively eliminate materials liabilities for Jabil by clearly understanding the ownership (supplier / customer). Track and provide supporting data to BUM in order to clearly define customer liable materials. Execute and maximize Jabil negotiated terms with suppliers to reduce materials liability.- Issue Purchase Orders to pricing, terms & conditions that are negotiated and agreed to by Jabil Commodity Managers and Buyers. Ensure suppliers’ adherence to established agreements.- Optimize order management process to ensure effective communication with suppliers.- Maintain integrity of master data and purchasing planning parameters in order to minimize material liability and to balance the cost of procurement with inventory investment levels.- Monitor and continuously improve supplier’s delivery and quality performance. Address and resolve recurring or critical issues by utilizing corrective action tools and additional resources.- Support Accounts Payable in resolving invoice discrepancies.- Provide inputs to drive and execute Jabil’s commodity and pricing strategy. Work closely with Buyers, Commodity Managers, & SCM. Provide feedback on supplier performance and Jabil’s strategies.- Minimize materials freight expenses for Jabil.- Monitor, track, and provide feedback on suppliers’ performance on delivery, quality, and service.Production Planner (6-12mos)- Schedule production activity in synch with MPS.- Run planned orders in two-week buckets to detail what boards are to be built.- Ensure Prep-Parts can and is keeping up with the build schedule.- Focus on minimizing changeovers and production schedule changes while maintaining the integrity of the production board revision.- Run clean-to-starts, on-time production shipments, EPS maintenance, purge, ECN, and deviation management, maintaining of a handbook.- Meet daily with the Master Planner and manufacturing to assess production schedules, (adjust as necessary, based on production results), optimize run quantities, and minimize changeovers, to achieve 100% on time delivery.- At a minimum, run weekly clean-to-starts to determine any existing material shortages that need to be expedited. Follow up with appropriate Purchasing personnel to ensure commitments are achieved.- Work with Manufacturing Line Manager(s), Purchasing, and Inventory Control to recommend long term resolutions to shortages due to lack of material control on the production floor.- At a minimum, conduct readiness meetings on New Products as well as revision changes five days prior to the build.- Ensure that shipments made are routed to the correct destination, as well as the creation and maintenance of Sales Orders if that duty is placed on the Planner.- Maintain Jabil packout module, EPS, or equivalent packout system.- Manage the Deviation/ECN/Purge processes.- Understand all product production flow.- Maintain handbook on position by workcell.- Continuous coordination and follow up with the workcell team.- Adhere to all safety and health rules and regulations associated with this position and as directed by supervisor.- Comply and follow all procedures within the company security policy.MINIMUM REQUIREMENTSRecent college graduate/Bachelors degree required. Coursework in Supply Chain or Logistics preferred. A certification by related professional organizations (such as APICS and NAPM) is preferred."
Actuarial Analyst (GBF&R) ID204837,汇丰环球,1.6-2.5万,广州·天河·林和,3-5年,本科,外商独资,10000人以上,银行,,"职位描述 Some careers have more impact than others.If you’re looking for a career where you can make a real impression, join HSBC and discover how valued you’ll be.HSBC is one of the largest banking and financial services organisations in the world, with operations in 64 countries and territories. We aim to be where the growth is, enabling businesses to thrive and economies to prosper, and, ultimately, helping people to fulfil their hopes and realise their ambitions.We are currently seeking an experienced professional to join our team in the role of Actuarial Analyst.Principal responsibilities- Support development of the IFRS17 reporting tools, including but not limited to Global CSM Engine, Market Condition Update and Planning and Forecasting model, ensuring accuracy and punctuality of the reporting deliverables.- Support the user acceptance testing of the model including test execution and defect triage- Provide subject matter expertise on the Group’s solutions, processes and controls.- Produce insightful analysis and summarize findings to senior stakeholders- Execute required controls and support a strong control culture- Collaborate with the local markets and wider colleagues in the Global Business Finance & Reporting teamRequirements- Degree holder in Actuarial Science or equivalent with a strong technical insurance background.- Good progress towards actuarial qualification (FSA/FIA/FFA/Equivalent)- Good knowledge of life insurance products and balance sheet dynamics, obtained through exam progress and meaningful work experience- Strong knowledge of IFRS17 and/or financial reporting is essential- Experience in actuarial software, in particular Prophet modeling, is preferred- Experience in Python, Alteryx, Power BI would be highly beneficial- Ability to meet tight deadlines, in an evolving business and regulatory context- Strong communication skills with fluency in spoken and written English- Strong interpersonal skills including the ability to form effective relationships with local markets and wider teams in Global Business Finance & Reporting team in- Keep up-to-date on the latest developments in modelling, actuarial techniques, financial reporting, auditing requirements, and relevant regulationCandidate with less relevant experience or skills may be offered a lower Global Career Band than stated above.Due to the urgent hiring need, candidates with immediate right to work locally and no relocation need will be prioritised.You’ll achieve more when you join HSBC.HSBC is committed to building a culture where all employees are valued, respected and opinions count. We take pride in providing a workplace that fosters continuous professional development, flexible working and opportunities to grow within an inclusive and diverse environment. Personal data held by the Bank relating to employment applications will be used in accordance with our Privacy Statement, which is available on our website."
AI Agent 应用开发工程师,探迹科技,2-4万·14薪,广州·海珠·琶洲,3-5年,本科,民营,1000-9999人,人工智能,最佳雇主,"职位描述 【工作职责】1、Agent架构设计与开发: 负责AI Agent的核心架构设计,开发具备推理、规划、记忆和工具使用能力的智能体系统。2、LLM集成与应用: 深入研究并实践各类大型语言模型,基于业务需求进行模型选型、集成和性能优化,熟练运用检索增强生成(RAG)、ReAct等关键技术。3、工具与框架应用: 熟练运用LangChain、LlamaIndex、AutoGen等主流Agent开发框架,构建稳定、可扩展的Agent应用,并集成外部API和服务。4、多场景应用落地: 参与将AI Agent技术应用于多元化场景的实践,包括但不限于智能客服、自动化流程、数据分析、创意内容生成等。5、Prompt工程与优化: 设计、测试和迭代高效的Prompt模板,以确保Agent在特定任务上输出的准确性、相关性和可控性。6、技术创新与追踪: 持续关注并研究AI Agent领域的最新技术进展和学术成果,探索新技术在产品中的应用潜力,推动团队技术创新。7、跨团队协作: 与产品经理、算法工程师和业务团队紧密合作,准确理解需求,共同推动Agent项目的规划、开发和部署上线。 【任职要求】 1、教育背景: 计算机科学、人工智能、软件工程或相关领域的本科及以上学历。 2、编程能力: 精通Python编程语言,具备扎实的软件工程基础;熟悉至少一种Web服务框架(如FastAPI)。 3、大模型经验: 熟悉Transformer模型架构,对GPT、Llama等主流大语言模型有深入理解和实践经验。 4、Agent开发经验: 掌握至少一种主流Agent开发框架(如LangChain、LlamaIndex),有实际的Agent项目开发或RAG系统构建经验。 5、技术栈: 熟悉向量数据库(如Milvus、Pinecone)的使用,了解微服务架构及Docker/Kubernetes等容器化技术。 6、综合素质: 具备出色的问题分析与解决能力、良好的沟通能力和团队协作精神,对AI技术充满热情。"
AI应用专家（Agent方向）,安利（中国）日用品有限公司,2-3.5万·13薪,广州·天河·林和,5-10年,本科,外商独资,1000-9999人,日化制造,最佳雇主,"职位描述 岗位职责:1. Agent 架构设计与落地：负责 AI Agent 的技术方案设计与核心架构的搭建，探索和引入业界前沿的 Agent 框架（如 LangChain,LangGraph等）及相关技术，并确保其在百万级用户产品中的高效、稳定运行。2. Agent 产品开发：作为核心成员参与 AI 产品的产品迭代，基于dify低代码平台与LangChain高代码平台完成AI产品POC、功能验证、生产上线的全过程，专注于 Agent 功能的开发与实现，包括工作流设计、任务规划（Planning）、工具调用（Tool-use）、记忆（Memory）、上下文工程、和自主学习等关键模块。3. 持续跟进大语言模型、AI Agent 等领域的最新技术进展，进行前瞻性的技术预研和原型验证，为产品的未来发展方向提供技术驱动力。4． 性能优化与工程实践：.负责 Agent 服务的性能分析与优化，解决在实际应用中遇到的工程挑战，提升系统的响应速度、稳定性和资源利用率。5. 团队协作：与产品经理、数据工程、后端工程师、客户端开发团队紧密合作，共同推动项目落地。同时，积极参与团队内部的技术分享，共同促进团队成长。 任职要求:1.计算机科学、软件工程或相关专业的本科及以上学历。2.具备扎实的编程基础，精通 Python、Java，熟悉主流的 Web 服务框架（如 FastAPI, Flask, Tornado，Springboot 等）。3.深入理解大语言模型（LLM）的工作原理，并具备基于 LLM 进行应用开发的实践经验。4.熟悉至少一种主流的 Agent 开发框架（如 LangChain, AutoGPT, LlamaIndex 等），并有实际的项目落地经验。5. 具备优秀的软件架构设计能力和系统性思维，能够独立负责复杂系统的设计与开发。6.对前沿技术充满热情，具备出色的学习能力和分析问题、解决问题的能力。7.良好的沟通能力和团队协作精神，能够适应快节奏的工作环境。加分项： 有大规模、高并发系统设计与开发经验者优先。"
AI研发工程师（AI Agent/应用落地方向）,广州市九重天信息科技有限公司,8000-15000元,广州·天河·五山,经验不限,本科,民营,20-99人,计算机硬件,,"职位描述 岗位职责：1.应用研发： 负责基于大模型（LLM）的AI Agent（智能体）开发与落地，包括Prompt工程、RAG（检索增强生成）、工具调用（Function Calling）等机制的实现；2.模型优化： 负责NLP/推荐相关模型的微调（Fine-tuning）、量化及在实际业务场景中的效果调优；3.工程落地： 负责AI模型/服务的后端接口开发、部署与性能优化，确保算法模型在生产环境下的高可用与低延迟；4.数据处理： 负责相关业务数据的数据清洗、ETL流程建设及向量数据库的维护；5.技术探索： 跟踪AI前沿技术（如Multi-Agent、CoT等），撰写技术文档，推动新技术在业务中的应用。任职要求：1.学历背景： 本科及以上学历，计算机、人工智能、数学等相关专业；2.编程能力： 精通 Python，编程基础扎实；熟悉 Java 或 C++ 其中一种作为加分项（用于业务对接或性能优化）；3.AI框架： 熟练掌握 PyTorch/TensorFlow 等主流深度学习框架；熟悉 LangChain、AutoGPT 或类似 Agent 开发框架者优先；4.工程能力： 熟悉 Linux 开发环境，了解 Docker/K8s 容器化部署；熟悉 MySQL 及 向量数据库（如 Milvus, Chroma, Faiss 等）的使用；5.综合素质： 具备良好的逻辑思维能力，能够独立分析业务需求并转化为技术方案，有较强的抗压能力和团队协作精神。"
AI Agent工程师（物业管理）,广州市华勤物业管理有限公司,8000-11000元,广州·番禺·市桥,1-3年,本科,民营,100-299人,物业管理,,职位描述 岗位职责：1. 负责物业管理AI Agent核心模块的设计、开发与迭代，聚焦智能规划、记忆机制、工具调用、多Agent协同等核心功能，适配物业多场景需求，确保Agent具备自主决策、高效执行物业相关任务的能力。2. 结合物业管理核心业务场景（如小区安防巡检、业主服务应答、设施设备运维、物业费收缴提醒、工单闭环管理），拆解Agent应用需求，设计贴合物业行业实际、可落地的技术方案，推动AI Agent从原型到落地的全流程实施，助力物业企业数字化转型。3. 负责物业管理行业AI Agent相关的测试、调试与问题排查，针对物业场景高频需求（如业主咨询响应、巡检异常上报等）建立性能监控机制，持续优化Agent的交互体验与任务执行效率，解决落地过程中的技术难点。4. 配合产品、业务团队，推动跨团队协同开发，助力提升物业企业运营效率与服务品质。 岗位要求： 1. 学历与专业 - 本科及以上学历，计算机科学、人工智能、软件工程、自动化等相关专业，1-3年及以上AI Agent、大模型应用开发相关工作经验，有物业管理行业、智慧城市相关AI开发经验者优先。 2. 技术能力 - 熟练掌握至少一门编程语言（Python优先，Java、Go等均可），具备扎实的代码功底与工程化开发能力，能独立完成物业场景AI Agent模块开发与调试，适配物业多系统集成需求。 - 深入理解AI Agent核心原理，熟悉智能体架构（如规划、记忆、工具调用、反思机制），有Agent原型设计、全流程开发落地经验，能结合物业管理场景设计贴合实际的Agent架构者优先。 - 熟悉至少一种大模型API（OpenAI、阿里千问、讯飞星火等）的调用与二次开发使用。 - 熟悉常用的开发工具与框架，了解Git版本控制、Docker容器化部署；了解物业现有系统（门禁、监控、工单、财务收费系统）接口集成者优先。 3. 综合素质 - 具备较强的需求分析能力、逻辑思维能力与问题排查能力，能快速响应物业管理行业业务需求，理解物业工作人员、业主的核心诉求，解决研发过程中的技术难题。 - 具备良好的沟通协调能力与团队协作精神，能高效配合产品、物业业务、测试等跨部门团队推进项目，精准传递技术逻辑与业务需求。
Agent开发工程师,安居宝,1.1-1.5万,广州·黄埔·联和,1-3年,本科,民营,1000-9999人,半导体/芯片,已上市,职位描述 一、岗位职责• 负责智能Agent（如任务型Agent、对话Agent、多智能体协作系统）的设计、开发与落地，完成Agent核心逻辑（目标规划、任务拆解、工具调用、记忆管理）的编码实现；• 参与Agent产品的需求分析与技术方案设计，结合业务场景（如智能客服、企业办公助手、自动化运维、数字人交互等）定义Agent能力边界与交互流程；• 负责Agent与大模型（LLM）、外部工具（API接口、数据库、第三方服务）的集成对接，优化Agent的响应速度、任务完成率与交互体验；• 搭建Agent测试与验证体系，设计测试用例，完成功能、性能、稳定性测试，迭代优化Agent的决策逻辑与容错能力；• 关注Agent领域前沿技术（如多智能体协作、Prompt Engineering、RAG优化、工具学习等）动态，将新技术融入产品迭代，提升Agent智能化水平；• 配合产品、算法、前端等跨团队完成项目交付，撰写技术文档、接口文档，提供Agent相关技术支持与问题排查。二、任职要求1. 学历与专业本科及以上学历，计算机科学与技术、软件工程、人工智能、机器学习、数据科学等相关专业。2. 核心技能• 具备扎实的编程基础，熟练掌握至少一门主流开发语言（Python/Java/Go等），熟悉常用数据结构与算法；• 深入理解大模型（LLM）工作原理，熟练使用主流大模型API（如GPT系列、文心一言、通义千问等），具备Agent与大模型集成开发经验；• 掌握Agent核心技术体系，熟悉目标规划（如Chain of Thought、Tree of Thoughts）、工具调用（Function Calling）、记忆机制（短期/长期记忆）、多智能体协作等关键模块的实现逻辑；• 熟悉RAG（检索增强生成）技术栈，具备文档知识库构建、检索优化、上下文管理相关经验者优先；• 了解主流开发框架与工具，如LangChain、LlamaIndex、LangGraph等Agent开发框架，以及Docker、K8s等容器化部署工具；• 具备良好的代码规范、版本控制（Git/SVN）习惯，能够独立完成技术方案与开发文档的撰写。3. 工作经验1-3年及以上智能Agent相关开发工作经验，有完整的Agent产品（如对话机器人、任务自动化Agent、多智能体系统）开发与落地项目经验者优先；有大模型应用开发经验者可适当放宽，优秀应届毕业生也可以考虑。4. 综合素质• 具备较强的逻辑思维能力与问题解决能力，能快速定位并解决Agent开发、部署及线上运行过程中的技术问题；• 具备良好的沟通表达能力与团队协作精神，能高效配合跨部门推进项目，准确对接业务需求与技术实现；• 具备较强的学习能力与技术钻研精神，对Agent、大模型等领域的新技术、新应用有浓厚兴趣，能主动跟进行业发展；• 工作认真负责，有较强的责任心、抗压能力及时间管理能力，能保障项目按时高质量交付。
AI Agent 架构工程师（高级）,软通动力信息技术(集团)股份有限公司,3-4万·13薪,广州·天河·林和,5-10年,本科,上市公司,10000人以上,软件/IT服务,最佳雇主,"职位描述 岗位职责：1. Agent 架构设计与落地：负责 AI Agent 的技术方案设计与核心架构的搭建，探索和引入业界前沿的 Agent 框架（如 LangGraph /AgentSope/AutoGen等）及相关技术，并确保其在百万级用户产品中的高效、稳定运行。2. Agent 产品开发：作为核心成员参与 AI 产品的产品迭代，基于低代码平台与高代码平台完成AI产品POC、功能验证、生产上线的全过程，专注于 Agent 功能的开发与实现，包括 Agent架构设计、工作流设计、任务规划（Planning）、工具调用（Tool-use）、记忆（Memory）、Skills、上下文工程、多智能体协作、和自主学习等关键模块。3. 持续跟进大语言模型、AI Agent 等领域的最新技术进展，进行前瞻性的技术预研和原型验证，为产品的未来发展方向提供技术驱动力。4． 性能优化与工程实践：.负责 Agent 服务的性能分析与优化，解决在实际应用中遇到的工程挑战，提升系统的响应速度、稳定性和资源利用率。5. 团队协作：与产品经理、数据工程、后端工程师、客户端开发团队紧密合作，共同推动项目落地。同时，积极参与团队内部的技术分享，共同促进团队成长。 任职要求： 1.计算机科学、软件工程或相关专业的本科及以上学历。 2.具备扎实的编程基础，精通 Python、Java，熟悉主流的 Web 服务框架（如 FastAPI, Flask, Tornado，Springboot 等）。 3.深入理解大语言模型（LLM）的工作原理，并具备基于 LLM 进行应用开发的实践经验。 4.熟悉至少一种主流的 Agent 开发框架（如 LangChain/ LangGraph /AgentSope/AutoGen等），并有实际的项目落地经验。 5. 具备优秀的软件架构设计能力和系统性思维，能够独立负责复杂系统的设计与开发。 6.对前沿技术充满热情，具备出色的学习能力和分析问题、解决问题的能力。 7.良好的沟通能力和团队协作精神，能够适应快节奏的工作环境。 加分项： 有大规模、高并发系统设计与开发经验者优先。 有在知名开源社区（特别是 AI 相关项目）贡献代码经验者优先。 熟悉模型微调（Fine-tuning）、RAG（Retrieval-Augmented Generation）等相关技术者优先。"
RPA技术经理,广东方胜人力资源服务有限公司,1.5-2万,广州·天河·冼村,3-5年,本科,国企,300-499人,人力资源,已上市,职位描述 工作内容1、统筹公司 RPA/AI 自动化体系建设，主导影刀、八爪鱼等工具的选型、部署与运维。2、深度对接业务（项目运营 / 财务 / 人事等），挖掘高频重复场景，输出自动化方案并落地。3、负责 RPA 流程的设计、开发、测试、上线与迭代优化。4、推动 RPA+AI 融合（如影刀 + 大模型做数据提取、文案生成），打造智能自动化流程。5、制定自动化规范、SOP 与培训文档，赋能业务人员使用低代码工具。6、监控自动化系统稳定性，处理异常与反爬，保障数据安全合规。任职要求1、统招本科及以上学历，2-3 年 RPA 全流程实施经验，精通影刀 RPA，熟练八爪鱼。2、有自动化项目落地案例，能独立输出方案。3、掌握基础编程（Python/SQL），能写脚本解决复杂逻辑；懂网页反爬与数据清洗优先。4、具备强业务理解、需求拆解与跨部门沟通能力，能带团队推进项目。5、了解大模型应用（如 Coze/Dify），有 RPA+AI 落地经验加分。
