岗位名称,公司名称,薪资范围,工作城市,经验要求,学历要求,公司性质,公司规模,公司行业,公司标签,职位描述
ai短视频剪辑,阳城睿祥电子商务有限公司,8000-10000元,上海·浦东·张江,经验不限,,20-99人,综合商贸,,,
AI项目专员,立邦投资有限公司,1-1.5万·15薪,上海·浦东·花木,1-3年,本科,外商独资,10000人以上,化学原料/化学制品,最佳雇主,
AI视频剪辑（会即梦）,河南狂人电子商务有限公司,7000-10000元,上海·虹口·曲阳路,经验不限,,20-99人,互联网电商,,,
高级数据产品经理（AI方向） (MJ011631),烟台欣和企业食品有限公司,3-3.5万,上海·长宁·新泾,3-5年,本科,外商独资,1000-9999人,食品/饮品/烟酒制造,最佳雇主,职位描述 岗位职责： 1、规划和建设AI数据分析体系，理解预测类业务需求并抽象业务需求为AI算法模型技术要求； 2、熟悉快消行业销售、供应链、工厂等相关业务场景； 2、擅长梳理和整合多端数据源，主导AI数据产品设计，如销售预测、需求预测等，有主导预测类高阶数据分析项目经验者优先； 3、基于业务需求及自身对业务的理解，转化为AI模型设计理念，与后端算法工程师紧密合作，以敏捷迭代模式日益精进预测模型精度； 4、负责与业务沟通，调研、挖掘、引导业务高阶数据分析需求，收集用户对AI数据产品的使用反馈和意见，优化迭代产品设计和模型设计； 5、负责AI数据产品全生命周期的工作，包含产品需求分析、产品模型设计、算法研发跟进、产品测试、产品上线、产品培训推广等环节； 6、探索和引入行业先进的AI数据产品及规范，提升数据使用效率、使数据更好的赋能业务发展。任职资格： 1、本科及以上学历（必须），计算机科学、统计学、数学、信息管理等相关专业，985/211、QS100学校毕业优先； 2、3年以上AI数据产品设计经验，熟悉AI/算法产品全生命周期，包括业务访谈、需求分析、算法模型设计、AI数据产品运营、项目管理等； 3、以客户为中心，具有良好的业务理解和洞见能力，具有良好的AI数据产品设计和数据分析能力，以及跨团队项目协调推动能力； 4、具备良好的数据敏感性，熟练使用产品设计工具和python/SQL，了解常见数据仓库结构，能够从业务需求抽象成AI算法模型； 5、具备AI数据体系搭建、AI数据产品落地经验优先； 6、自我驱动，热衷于用数据驱动赋能业务，有owner意识，推动能力强，结果导向，沟通能力强，有较强的团队协作意识和能力。
新风口/AI智能顾问,上海融智互联网金融信息服务有限公司,9000-18000元,上海·虹口·北外滩,经验不限,,民营,100-299人,金融科技/数字金融,,职位描述 岗位职责：1. 依托AI智能工具，为客户提供一对一金融咨询、资产配置、信贷规划等专业服务；2. 维护客户关系，跟进服务流程，用AI工具提升咨询效率与客户体验；3. 参与团队培训，学习金融知识、AI工具使用，配合团队完成业务目标。任职要求：1. 沟通表达流畅，小白无经验可带薪培训；2. 态度端正，执行力强，能稳定长期发展，抗压能力良好；4. 工作地点北外滩，提供住宿，环境舒适，团队年轻化。
AI数据工程（反爬虫/ETL/LLM）,英特利普(上海)信息技术有限公司,2-2.5万·13薪,上海·浦东·花木,5-10年,本科,外商独资,1000-9999人,人力资源,,"职位描述 职位概述：作为DS&AI团队的数据基石，你将负责构建一套能够支撑前沿AI模型与AI Agent运行的数据生态。你的核心任务是整合全球专业生物医药数据库，并利用大语言模型（LLM）从内外部海量文档中自动化提取关键科学信息，最终打造一个结构化、高性能、可被AI Agent高效调用以及训练AI模型的科学数据底座。核心职责：1. 科学数据整合与流水线建设：· 专业库对接： 负责从 ChEMBL, PubChem, UniProt等主流生物医药数据库中提取、解析并集成数据。· ETL流程维护： 设计并维护自动化的数据清洗、标准化流水线，处理实验数据（Assay Data）中的冗余与缺失，确保数据对AI模型的一致性。· 数据质量监控： 建立严谨的数据校验规则，确保整合后的科学数据在结构化程度和准确性上达到模型训练标准。2. 多源数据采集与智能信息提取：· 多维数据抓取： 针对外部文献（PubMed, arXiv）、专利网站及行业动态，开发高效的自动化爬虫系统，作为标准库的数据补充。· 内外部文档智能解析： 利用 LLM和OCR技术，深度解析外部专利/论文及内部科研报告/实验记录等非结构化文档。· 知识自动化： 负责将提取出的零散信息转化为结构化数据，持续丰富企业内部的科学知识库。3. AI Agent 数据底座建设：· Agent 数据支撑： 负责打造服务于 AI Agent 的数据基础设施，包括但不限于构建和维护结构化数据库，向量数据库 (Vector DB) 和图数据库 (Graph DB)。· 工具接口开发： 为 AI Agent 规划并开发标准化的一套数据查询工具，使其能够自主、精准地检索并调用底层科学数据。任职要求：· 教育背景： 计算机、生物信息学、化学信息学、计算生物学或相关专业背景。· 行业背景：o 熟悉常用的生物医药数据库（如 ChEMBL, UniProt, PubChem 等）的数据组织逻辑。o 对小分子结构、蛋白质序列等科学数据格式有基础了解。· 编程与数据能力：o 精通 Python，具备扎实的数据清洗（Pandas, NumPy）和 SQL 数据库操作能力。o 具备网络爬虫开发经验（Scrapy, Selenium 等），能处理常规的反爬机制。· AI 技术应用：o 熟悉 LLM 应用开发（如使用过 OpenAI API, LangChain等框架进行信息提取或 RAG 开发）。o 对 AI Agent 的工作原理有基本认知，并有志于探索其在科学领域的落地。· 优秀的逻辑思维，出色的跨部门沟通能力，能够快速理解科研业务逻辑，并将其转化为高效的数据方案。"
AI直播每天2小时月入2万至15万,安徽晓聚文化传媒有限公司,2.5-5万·13薪,上海·静安·静安寺,经验不限,,民营,100-299人,新媒体/MCN,,职位描述 没有经验，小白都可以。在家躺着都能赚钱。1免费培训：免费在线培训。2直播平台：抖音3.工作地点：不限制地区。在自己家里直播。4工资发放：主播每天自提。5礼物提成：45%6休息时间：自由安排7直播内容：聊天，唠嗑，开玩笑，吹牛，互动小游戏等，不要求直播经验和才艺。有才艺更好任职要求：形象气质佳（不要害怕自己不好看，美颜比你想象的强大）活泼，开朗，喜欢聊天，（不会说话的，我们也教，放心我们大把讲师授课）配合公司完成专业培训指导（所有培训都是免费的）福利待遇高服务，我们培训人员每天轮流值班，全天24小时在线，帮助主播发现问题。即时调整。迅速帮助主播做起来。
大数据与人工智能研发,中国聚变能源有限公司,2-3.5万,上海·闵行·虹桥,1-3年,硕士,100-299人,核能,,,职位描述 岗位职责： 1.负责聚变大数据清洗、挖掘总体方案制定和实施 2.负责人工智能在聚变堆设计应用研发 3.负责人工智能在聚变堆运维应用研发 4.负责聚变人工智能应用测试验证平台搭建 学历要求： 硕士研究生及以上学历，或本科学历且具备工程/研究系列副高级及以上职称。 专业要求： 计算机科学与技术、信息工程、应用数学、物理学、控制科学与工程 任职要求： 1.任职经历：2年以上相关工作经历，核聚变相关行业从业者优先。 2.外语水平：CET6及以上。 3.工作经验：有参与重大科研项目经验者优先。 其他任职条件： 1、学习能力和适应能力：具备快速学习和适应新技术、新知识的能力，不断提升自身专业水平； 2、综合能力：团队合作能力、解决问题能力、沟通能力、较高的责任心和良好的工作态度； 3、熟练掌握Tensorflow，pytorch等机器学习工具； 4、具有PINN强化学习等项目经验者佳； 5、具有数据治理经验者佳。
智驾数据验收/双休,深圳南区人瑞人力资源服务有限公司,7000-8000元,上海·闵行·莘庄,1-3年,大专,上市公司,1000-9999人,人力资源,,职位描述 上班时间：10:00-20:00（中间休息2小时），周末双休一、任职要求：1. 深度聚焦自动驾驶领域，主要负责对图像样本进行精细整理及高质量标注，涵盖 2D 和 3D 图像，确保标注内容符合自动驾驶算法训练需求。2. 对已标注的自动驾驶数据进行全面、细致的整理、深入分析与严格审核，精准识别数据中的错误、遗漏或不规范之处，同时基于实际工作经验，对标注流程、标注平台及操作方法提出切实可行的优化建议，持续提升数据标注的准确性和效率。3. 依据项目计划，高效完成自动驾驶数据采集及标注任务，科学做好任务的自我管理与合理分配，在保证标注效率的同时，严格把控标注质量，为自动驾驶模型训练提供可靠的数据支撑。4. 积极协助处理与自动驾驶数据标注相关的其他事宜，如与标注团队沟通协作、参与数据相关的会议和讨论等，促进项目的顺利推进。二、任职要求1)专科及以上学历；2)有车端智能激光视觉融合数据标注/验收经验（或者无经验，但是汽车专业）。(融合语义分割、融合目标检测、信号灯、 4D 车道线等);3)普通话标准，计算机操作熟练，每分钟打字80字以上，熟练使用word 、Excel 等 办公软件；4)做事耐心，理解能力强，有较强的学习能力，工作主动积极，有问题及时反馈沟通；5)仔细并且效率地完成主管下发的任务，有检查的习惯，保证质量，有较强的原则性， 敢于发现及提出验收问题；6)具有良好的团队精神和敬业精神，服从安排；7)具备将工作通过书面报表/报告有效体现的能力；每日按时汇报当日完成工作；三、薪资底薪5000+绩效2000，入职就购买五险一金四、上班时间10:00-20:00（中间休息2小时），周末双休
AI视频剪辑（会可灵）,万动力(河南)网络科技有限公司,7000-11000元,上海·杨浦·五角场,经验不限,,民营,100-299人,互联网电商,,职位描述 时间自由欢迎加入我们1. 公司自己订单，视频剪辑订单。2. 电商店铺稳定订单3. 能对客户认真负责4. 热爱视频剪辑设计任职要求：1. 熟练剪映/达芬奇/快影/pr等剪辑软件。2. 能独立完成整个视频的剪辑，思维灵活，创意独特，具有良好的视觉能力和表现功底，有优秀的布局感和色彩感；3. 学习能力强，自觉性高，能主动在工作中学习提升自己。
