岗位名称,公司名称,薪资范围,工作城市,经验要求,学历要求,公司性质,公司规模,公司行业,公司标签,职位描述
Agentic AI应用工程师,成都维泰油气能源技术有限公司,1-1.8万,成都·金牛·天回镇,经验不限,,民营,100-299人,石油/石化,,职位描述 关于我们：我们是一家专注 AI 深入业务场景落地的科技公司，致力于让 Agentic AI 与边缘计算真正发挥价值。我们的团队文化极度开放透明，鼓励自我批判，不论资排辈，只看重实际能力与贡献。我们在寻找怎样的人：我们正在寻找对 AI 充满热情，且能将想法踏实落地的伙伴：1.拥抱 AI：对人工智能技术有真实的兴趣与热情，愿意主动探索新技术，并相信其重塑业务的潜力。2.注重落地：具备优秀的工程交付能力。能把创新的想法转化为切实解决问题的产品或方案，拒绝纸上谈兵。3.创新精神：面对未知和复杂的场景，不拘泥于常规，能敏锐地找到技术与实际应用结合的突破口。4.积极踏实：脚踏实地，不浮躁。能够静下心来打磨技术细节，踏实推进每一个项目节点。我们的要求:为了找到真正热爱 AI 且具备动手创造能力的人，我们打破一切常规限制：1.零学历要求：我们只看重你的 AI 应用能力和解决方案。2.零专业限制：无论你出身计算机、物理，还是艺术、文学，只要你懂 AI 落地。3.零经验要求：不需要你有光鲜的大厂履历，也不需要任何过往的行业经验。4.零工作年限要求：无论你是刚接触社会的应届生，还是转型探索的实干者，一切以实力说话。 岗位职责: 1.负责 Agentic AI 系统在实际业务场景及边缘计算终端的部署、调试与性能优化。 2.将创新的 AI 构想转化为可落地的工程方案，解决物理现场环境中的各种突发技术挑战。 3.深入一线业务，探索智能体（Agent）与实际生产/业务流结合的最优路径。 只要你对 AI 足够热爱，且有能力将技术转化为实际的价值，这里就有你的位置。
RPA开发-驻点银行-成都（线上面试）,厦门至恒融兴信息技术股份有限公司,8000-15000元,成都·双流·正兴,经验不限,本科,民营,1000-9999人,软件/IT服务,B轮,职位描述 1.负责数字员工系统(RPA)应用流程开发（基于行内RPA系统的低代码开发）2.具备2年以上RPA相关开发经验。(有珠海金智维开发的K-RPA系统相关开发经验者优先)3.具备2个以上RPA相关项目经历。4.具备良好的系统分析能力和技术文档撰写能力，具备良好的团队合作精神和沟通能力。5.本科及以上学历。6.具备3个以上银行项目经验备注：熟悉金智维rpa软件技术优先，其次Python
Agent开发工程师,成都天微智能科技有限公司,1.5-2.5万,成都·双流·怡心,3-5年,本科,20-99人,半导体/芯片,,,职位描述 岗位职责：1. 大模型微调与适配1) 基于开源大模型（如 LLaMA、Qwen、DeepSeek 等）进行指令微调、偏好对齐（RLHF/DPO），提升模型在特定任务上的表现。2) 负责训练数据构建、清洗、质量评估，设计有效 prompt 模板与训练策略。3) 实现高效微调方案（LoRA/QLoRA），完成模型的部署、量化与推理加速。 2. Agent 功能开发 1) 设计并实现基于 LLM 的 Agent 框架，集成工具调用（Function Calling）、记忆管理、规划与反思机制。 2) 构建多智能体协作/编排系统，支持复杂任务自动拆解、执行与纠错。 3) 将 Agent 能力封装为 API 或 SDK，对接业务场景（如数据分析、知识问答、逃生规划、危险预警等）。 3. 工程化与落地 1) 搭建模型微调、评估、部署的 MLOps 流水线，持续监控模型效果与性能。 2) 编写自动化测试与评测用例，确保 Agent 输出的稳定性与安全性。 3) 编写技术文档，沉淀最佳实践，推动团队整体 Agent 技术能力提升。 任职资格： 1.本科及以上，计算机、AI、软件工程等相关专业优先。具备良好的快速学习能力、业务理解力、解决问题能力、团队协作与沟通能力。 2. 熟练使用 PyTorch / Transformers / vLLM 等深度学习框架及推理引擎，具备优秀的 Python 功底，熟悉 FastAPI / Flask 等 Web 框架，具备良好的工程规范和代码管理习惯。 3. 理解 Transformer 结构、PPO/DPO 原理，能根据业务需求制定 SFT 数据构造方案。至少完整负责过 1 个以上大模型的指令微调或 RLHF 项目，熟悉DeepSpeed / LLaMA-Factory / unsloth 等工具。 4. 深入理解 ReAct、Plan-and-Execute、Multi-Agent 等范式，有 LangChain / LlamaIndex / AutoGen / Camel 等框架的实际使用经验。 5. 掌握工具库注册与调度、记忆模块设计、安全护栏等 Agent 关键技术，有 LLM 推理性能优化经验（FlashAttention、kv cache 管理、量化部署等）， 熟悉检索增强生成（RAG）、多模态 Agent 或具身智能相关技术。 6. 善于将模糊需求拆解为可执行的技术方案，较强的实验设计及结果分析能力。 7.英文文献阅读无障碍，乐于追踪前沿，能够快速原型验证新思路。
Agent开发实习生（AI 产品方向）,北京三快在线科技有限公司,面议,成都,经验不限,本科,上市公司,10000人以上,互联网生活服务(O2O),最佳雇主,职位描述 美团平台为用户的基础产品体验负责，还承担了美团的用户增长、市场和品牌营销以及多条业务线的产品设计职责，建立了融合文字、图片、视频和直播等不同形式的內容生态系统，同时整合地图服务部、客户服务和体验部、企业业务部、网约车业务部等部门，致力于用科技提升美团数亿消费者、近千万商家、骑手、司机和团长的服务体验。美团平台拥有高并发、多业务的复杂场景，为技术深度优化提供了最佳实践可能。这里有简单、讲逻辑、有爱的团队，更是一块理想的实战场地，舞台广阔，欢迎你来尽情施展。岗位职责1.参与 AI Agent 核心系统开发，包括 Prompt 工程、Chain、Harness 和技能模块（Skills）；2.实现中小型功能模块或系统优化，支持任务自动化和上下文管理；3.学习并实践系统性能调优，在多任务、高并发环境中积累工程经验；4.跟踪业界大模型应用与 Agent 技术动态，参与技术调研、方案评估与落地。岗位基本需求1.熟悉至少一种高级编程语言（Java / Python 等），具备基础算法和数据结构能力；2.计算机或相关专业背景，计算机基础扎实；3.熟悉关系型数据库及 SQL 开发；4.具备良好沟通能力，能够分析问题并提出解决方案；5.对大模型应用、Agent 系统、Prompt 工程及 AI 工程化有浓厚兴趣，乐于探索新技术。具备以下者优先1.有大模型应用开发、Prompt 编写或调优经验者优先；2.有 Agentic 系统或相关开源项目经验（如 Claude Code、DeepAgent、OpenClaw、LangGraph等）者优先；3.熟悉技能模块加载及上下文管理经验者优先。岗位亮点1.学习前沿技术，接触大模型工程实战；2.实战机会丰富，可独立完成模块开发和优化任务；3.资深 AI 技术专家指导，加速技术与工程能力提升；4.快速成长，积累系统设计、工程化和高并发环境经验。
AI Agent软件开发岗,外企德科数字技术有限公司,1.3-2.6万·14薪,成都·郫都·合作街道,3-5年,本科,合资,10000人以上,软件/IT服务,,职位描述 岗位职责：- 负责AI Agent核心模块（推理引擎、任务规划、工具调用、RAG记忆系统等）的设计、开发与优化，支撑智能体自主决策与多任务协作。- 研究AI Agent相关算法与技术，结合业务场景选型优化，提升智能体交互体验与执行效率。- 参与系统架构设计，负责核心代码编写、测试与性能调优，解决研发过程中的复杂技术问题。- 配合算法团队完成技术验证落地，编写维护技术规范与开发文档，推动研发流程标准化。任职要求：- 数据结构与算法基础：扎实掌握常见数据结构（链表、树、栈、队列、哈希表等），熟练掌握排序、查找、动态规划、贪心等核心算法，具备较强的算法解题能力。- 编程能力：熟悉至少一种主流编程语言（Java/Python/C++），能够编写高效、规范的生产级代码；熟悉异步编程、模块化开发，掌握Git、Docker等工程化工具。
国际收益,成都航空,4000-7000元·13薪,成都·双流·东升,1-3年,本科,国企,1000-9999人,船舶/航空/航天/军工,,职位描述 一、岗位职责1.负责国际新开航线的公布运价制定工作，负责国际航线各类运价政策的解析、维护与发布，确保运价体系的准确性、合规性与时效性；2.负责制定所辖航线的销售预案、开舱策略及团队价格政策，动态调整团散销售比例及各类产品舱位配额，最大化航班收益；3.负责定期对航班收益情况、任务完成情况进行深度分析与总结；负责新开航线测算及季中调整测算，为决策提供数据支持； 4.基于市场反馈提出航线改造需求，协同相关部门优化航班机型与时时刻配置； 5.负责领导交办的其他工作。二、任职条件1.本科及以上学历；2.CET-4/PETS-3/雅思A类5分/托福60分及以上英语水平；3.具备1年以上国际航线收益管理或国际运价工作经历；4.俄语专业优先。三、招聘录用流程投递简历-初试-复试-体检及背景调查-入职四、应聘注意事项(一) 成都航空有限公司仅通过以下渠道发布招聘信息：1. 智联招聘（http://www.zhaopin.com/）2. 成都航空招聘官方微信公众号。(二) 应聘资料代为保密，恕不退还；(三) 本简章内容由成都航空有限公司人力资源部负责解释；(四)公司未委托任何平台开展招聘活动，且招聘过程中不收取应聘者报名费、中介费、手续费等任何费用，谨防上当受骗，具体请查阅成都航空官网上发布的《关于人员招聘的声明》；(五)本次招聘由成都航空有限公司纪检部门负责进行监督。
AIGC应用工程师,成都果州装饰工程有限公司,8000-16000元,成都·成华·龙潭,1-3年,本科,民营,20-99人,工程施工,,职位描述 岗位职责:1.主导AIGC内容生成全流程，负责漫剧/短视频等内容的AI抽卡式生成与优化，平衡创意效果与商业落地价值。2.与导演、编剧、美术团队研讨叙事风格、视觉调性，提供专业的AI生成方案与技术实现建议。3.把控项目质量、进度与成本，在预算内按时交付优质的AIGC成片内容。4.负责提示词工程、模型微调与工作流搭建，持续优化AI生成效率与成品质量。5.跟踪AIGC技术前沿，迭代抽卡式生成pipeline，解决生成过程中的技术难点。 任职要求: 1.数字媒体、计算机等相关专业专科及以上学历优先。 2.2年以上AIGC相关工作经验，在漫剧/AI视频/图像生成等领域有多个成功代表作。 3.精通Stable Diffusion、Midjourney、Sora等主流AIGC工具与工作流，熟练使用Python进行脚本开发与流程自动化。 4.具备扎实的提示词工程能力与模型微调经验，能应对复杂的内容生成需求。 5.沟通与团队协作能力出色，能协调跨部门资源，高效完成高难度创意项目。 6.对影视叙事、视觉美学有一定理解，能将艺术需求转化为可执行的AIGC技术方案。
AI agent应用工程师,成都夏尔天逸科技有限公司,1.1-2万,成都·青羊·文家,3-5年,本科,民营,1000-9999人,文化艺术/娱乐,天使轮,"职位描述 公司介绍： 成都夏尔，是成都大型的游戏公司，主要负责游戏美术制作，比如2D原画、3D场景建模、动作特效等，拥有游戏美术制作全流程的经验。 【岗位职责】 1. ⾃动化流程开发：使⽤OpenClaw等AI Agent框架，开发⾃动化⼯作流，覆盖美术资产处理、⽂件整理、批量⽣成等场景。 2. 新技术探索：持续跟踪AI开源社区动态，对新⼯具和框架进⾏快速评估，判断其业务价值。 3. ⼯具链维护：负责AI环境的搭建、维护和安全保障，监控成本，优化Token消耗。 4. 内部赋能：将研究成果转化为美术团队可⽤的⼯具，编写⽂档，推动落地。 【岗位要求】 ⼀、硬性⻔槛 1. 编程能⼒（Python核⼼） 熟悉Python基础语法、数据类型、⽂件I/O操作 具备异常捕获和调试能⼒，能根据Traceback定位问题熟练使⽤ pip / conda 管理项⽬依赖，能复现开源项⽬环境 2. 操作系统与⽹络（Linux基础） 熟悉Linux常⽤命令（ cd , ls , grep , ps , kill , nohup , crontab ） 理解Linux⽤⼾/权限机制，知道如何安全运⾏服务 理解IP、端⼝、防⽕墙基本概念，能排查端⼝不通的问题 3. 容器化（Docker） 能编写 Dockerfile ，能⽤ docker-compose 编排多容器服务 理解容器的隔离机制，知道如何挂载卷、映射端⼝、限制资源 4. API与集成 理解RESTful API，熟练使⽤ requests 库进⾏HTTP调⽤ 熟悉常⻅API鉴权⽅式（API Key, OAuth, JWT） 理解Function Calling / Tool Calling机制，能将外部API封装成Agent可调⽤的Tool 5. 美术背景 有美术基础、设计经验，或对游戏美术制作流程（2D/3D/UI）有基本了解 6. OpenClaw实战经验 哪怕只是在个⼈电脑上跑通了⼀个Demo，也请在简历中详细描述过程和遇到的问题 7. 开源参与 有维护个⼈GitHub仓库的习惯，或给开源项⽬提过Issue/PR（包括⽂档修正） ⼆、软性素质 极强的⾃驱⼒：没⼈给你布置作业，你要⾃⼰去寻找问题和答案。 ⼯程思维：遇到问题时，能冷静拆解，先Google/百度，再尝试，最后提问。 结果导向：不追求技术的炫酷，只关⼼能否解决实际问题，提升效率。 沟通清晰：能⽤简单的语⾔向⾮技术⼈员解释复杂的技术概念和成果。"
AI智能体开发实习生（Agent / 大模型方向）,成都云帆数联科技有限公司,100-150元/天,成都·双流·华阳,经验不限,本科,民营,20-99人,软件/IT服务,,职位描述 岗位职责1. 参与智能体（Agent）应用的开发与基础框架搭建，在指导下完成相关功能实现2. 协助调研大模型及智能体相关技术（如 RAG、Tool Calling 等），整理技术方案与学习总结3. 参与系统测试与优化工作，协助提升系统稳定性与性能表现4. 配合团队完成相关开发任务，参与技术讨论与方案落地岗位要求1. 学历背景：计算机、软件工程、人工智能等相关专业2. 编程基础：了解至少一门编程语言（Python / Java 优先），有一定的基础代码能力3. 技术基础：了解基本的 Web 开发或后端开发知识（如 HTTP、简单接口开发等）4. AI兴趣：对大模型、智能体（Agent）等方向有兴趣，有基础了解（如用过 ChatGPT、做过简单项目等）5. 工具经验（加分）：使用过 Cursor、Codex、Claude Code 等 AI 编程工具者优先6. 综合能力：具备良好的学习能力和沟通能力，有责任心
AI应用工程师（成都 双休）,铁骑力士食品有限责任公司,2-2.5万,成都·双流·黄甲,5-10年,本科,民营,10000人以上,畜牧业,,职位描述 工作地点：成都市双流区西南航空港腾飞二路48号铁骑力士岗位优势：集团化企业-平台大，机会多；运用AI的业务场景多；五险一金，周末双休；三餐免费，节日礼品；年假等岗位职责：1、负责AI技术在行业应用场景中的开发与集成，推动智能解决方案的实施；2、参与Al解决方案的需求分析、架构设计，负责技术方案制定，确保符合业务需求；3、持续优化AI解决方案，提升系统的稳定性和效率，保障高质量的用户体验；4、与跨部门团队协作，包括业务专家、物联网工程师等，共同推进AI项目的落地与迭代；5、持续关注AI领域的最新技术，探索新技术在业务中的应用可能性。任职要求：1、计算机、人工智能、软件工程等相关专业本科及以上学历；2、至少掌握一种编程语言（如Python、Java等）及AI Coding；3、掌握机器学习、物联网集成的原理及应用，有AI项目实践经验；4、有较强的问题解决能力，能快速定位并解决实际应用中的技术难题；5、良好的团队合作精神，善于沟通、协调、适应跨部门工作模式。加分项：1）有场景实践案例：视觉识别、机器人、物联网2）有行业工作经验：养猪、养鸡、食品深加工
