岗位名称,公司名称,薪资范围,工作城市,经验要求,学历要求,公司性质,公司规模,公司行业,公司标签,职位描述
（杭州）Agent 平台开发,东华软件股份公司,1.2-2.4万,杭州·西湖·三墩,1-3年,本科,上市公司,1000-9999人,软件/IT服务,优选雇主,职位描述 工作职责：1. 核心架构设计￮ 负责企业级 Agent 智能体平台的整体技术架构规划，包括核心引擎、能力编排、多 Agent 协作、工具调用、记忆管理等模块的架构设计，输出架构蓝图、技术选型文档和核心技术方案。￮ 结合业务场景（如智能问数、数字员工等）设计高可用、高扩展性、高性能的 Agent 平台架构、复杂任务编排与跨系统集成。￮ 主导架构技术评审，把控核心模块的技术实现，识别并规避架构风险（如性能瓶颈、数据一致性、安全合规等）。2. 技术选型与落地￮ 牵头完成 Agent 平台关键技术选型，包括大模型接入层（支持国产大模型 / 开源大模型）、向量数据库（如 Milvus/PGVector/ 达梦向量版）、中间件（MQ/Redis）、云原生部署方案（K8s/Docker）等，兼顾技术先进性与国产化适配需求。￮ 推动架构落地，指导开发团队完成核心模块编码，解决开发过程中的技术难题，确保系统符合架构设计标准。3. 技术体系构建与优化￮ 建立 Agent 平台的技术规范、研发流程和质量标准，包括代码规范、接口设计规范、性能测试标准等，提升团队研发效率。￮ 持续关注 AI Agent 领域前沿技术（如多模态 Agent、自主智能体、工具学习等），推动架构迭代升级，优化系统性能、稳定性和成本控制。4. 团队管理与技术赋能￮ 带领后端开发、算法工程团队开展研发工作，制定技术路线图，分配研发任务，把控项目进度。￮ 组织技术分享与培训，提升团队成员在 Agent 架构、大模型应用、分布式系统等领域的技术能力。5. 跨团队协作￮ 与产品、算法、业务团队紧密协作，理解业务需求，将业务目标转化为技术架构方案，推动产品快速落地。￮ 参与客户技术交流，提供技术解决方案支持，协助解决客户侧的技术问题。任职要求：1. 学历与专业：统一本科及以上学历，计算机、软件工程、人工智能等相关专业。2. 经验要求￮ 3 年以上 AI 平台 / Agent 平台架构设计经验，具备完整的企业级 Agent 平台从 0 到 1 搭建经验优先。￮ 有大模型应用平台、低代码平台、RPA 平台架构设计经验者优先，熟悉国产化软硬件（如昇腾芯片、麒麟系统、达梦数据库）适配经验者优先。3. 技术能力￮ 精通至少一门后端编程语言（Java/Go/Python），具备扎实的分布式系统、微服务架构设计能力。￮ 深入理解大模型工作原理，熟悉 LangChain/LlamaIndex 等 Agent 开发框架，掌握大模型接入、微调、工具调用等核心技术。￮ 熟悉主流数据库（关系型 / 非关系型 / 向量数据库）、中间件、云原生技术，具备数据库优化、缓存设计、高并发处理经验。￮ 具备架构性能优化、容灾设计、安全合规（数据加密 / 权限管理）的实战经验。4. 通用能力￮ 具备优秀的技术方案撰写能力和沟通表达能力，能够清晰阐述复杂架构设计思路。￮ 具备较强的问题分析与解决能力，能够快速定位并解决架构层面的技术难题。￮ 具备良好的团队管理能力，能够带领技术团队高效完成研发任务。招聘优先条件：1. 主导过基于国产大模型（如文心一言 / 通义千问 / 智谱清言）的 Agent 平台架构设计项目。2. 熟悉多 Agent 协作、智能体记忆机制、意图识别等 Agent 核心技术，有相关专利或技术成果者优先。3. 具备云原生 + AI 融合架构设计经验，了解大模型推理优化、资源调度策略。4. 有企业级 To B 产品架构设计经验，熟悉政企客户的技术需求与合规要求。
AIGC生成人工智能岗前班,浙江牵喜网络科技有限公司,8000-16000元,杭州·钱塘·白杨,经验不限,大专,民营,20人以下,技术服务,,职位描述 工作内容：1. 负责AI产品的需求分析、规划、设计及实施；2. 与技术团队合作，完成产品开发并上线；3. 对产品进行持续优化，提升用户体验；4. 分析市场趋势，调整产品策略。岗位要求(务必仔细看看）：专业不限14-26届全日统招专科及以上。经参加系统学习后，2014-2024 届毕业生：转正税前综合薪资：8000-25000 元/月；2025-2026 届毕业生：转正税前综合薪资：6000-12000 元/月。低于上面薪资，全额退费。免费七天试学。
BI及零代码平台工程师,浙江豪帝控股集团有限公司,8000-13000元,杭州·西湖·留下,1-3年,本科,1000-9999人,汽车4S店/经销商,,,职位描述 岗位职责：1. 负责帆软BI、简道云等零代码平台的维护和搭建工作2. 熟悉并优化这些平台的架构搭建，确保系统稳定性和高效性3. 根据业务需求进行平台的功能扩展和二次开发岗位要求：1. 熟悉帆软BI、简道云搭建，有0代码平台维护和搭建经验2. 精通平台的架构搭建，有2年以上实际工作经验3. 具备良好的逻辑思维能力和问题解决能力
Agent开发工程师 (MJ000642),浙江九洲药业,1.7-3万,杭州·钱塘·下沙,3-5年,本科,上市公司,1000-9999人,医药研发/生产外包（CXO）,已上市,职位描述 岗位职责1. 与业务团队对接，理解业务需求，并实现相关Agent的技术实施落地。2. 负责AI模型的提示词工程、微调、训练与部署，确保模型在生产环境中的高效稳定运行。3. 参与训练数据收集、数据处理等工作，为训练提供高质量的数据支持。4. 持续跟踪AI领域的前沿技术，并将其应用于实际项目中。任职要求1. 基本要求· 年龄： 22-35岁· 学历： 统招本科及以上学历，计算机科学、软件工程、人工智能等相关专业。· 工作经验： 2年以上AI、机器学习或机器视觉等领域开发经验。· 沟通能力： 具备良好的沟通能力和团队协作精神，能够与业务团队和技术团队高效合作。2. 专业技能· 算法基础： 精通 LLM 应用开发：深入理解 RAG、Agent、Function Calling、Prompt Engineering 等核心范式，能独立设计和优化 LLM 应用架构· 框架工具： 有 Dify / LangChain /类似平台或框架的生产环境经验，并具备独立搭建和运维能力。· 开发能力：精通 Python：能编写高质量、可维护的 Python 工程代码，熟悉异步编程、类型注解、测试框架；熟悉向量数据库：有 Qdrant / Weaviate / Milvus / Pinecone 等向量存储的使用和调优经验· 数据处理： 具备数据清洗、特征提取和数据分析的能力，能够建立和处理大规模数据集。3. 加分项• 具备自然语言处理、计算机视觉等特定领域经验者优先。• 具备良好的英语阅读和写作能力者优先。
AI Agent开发工程师（初级）,浙江禾彩化妆品有限公司,8000-11000元·14薪,杭州·滨江·西兴,经验不限,本科,民营,100-299人,日化制造,,职位描述 工作职责1. 参与公司商品管理、素材管理、数据报表等基础业务系统的开发与迭代，保障系统稳定运行。2. 基于大模型API或AI工具，开发AI辅助文案生成、商品信息自动化整理、简单图片任务生成等功能模块。3. 对接运营、美工、商品等业务团队，理解基础业务需求并转化为可执行的开发任务。4. 协助整理商品信息、运营经验、案例模板等内容，构建可复用的结构化知识库。5. 支持功能测试、Bug修复及系统上线，确保AI工具的基础可用性与用户体验。任职要求1. 本科及以上学历，计算机、软件工程、人工智能等相关专业优先。2. 掌握至少一种开发语言（Python/Java/Node.js等），具备基础后端开发能力与代码编写规范。3. 有AI应用或大模型API使用经验，了解Prompt设计、知识库构建、工作流自动化等基础概念。4. 具备需求拆解能力，能将简单业务需求转化为功能模块与开发任务。5. 良好的跨团队沟通能力，能与非技术人员协作推进项目落地。6. 学习能力强，对AI应用与业务自动化有浓厚兴趣，愿意主动探索新技术。补充说明1. 加分项：具备跨境电商平台（TEMU/SHEIN/Amazon/TikTok Shop等）操作或基础开发经验；使用过n8n、RPA等自动化工具；有AI文案生成、商品信息整理、图片任务生成等项目经验。
AI产品解决方案（top平台+长期发展待遇优）,外企德科,1.8-2.1万,杭州·西湖·三墩,3-5年,大专,合资,1000-9999人,人力资源,,职位描述 岗位职责：售前技术支持：为销售团队提供专业的AI产品解决方案售前支持，包括产品演示、技术交流、解决方案讲解、培训赋能，有效促进销售进程，并达成公司交付的业绩任务目标。需求挖掘与分析： 深入了解客户业务场景，精准把握客户需求，推荐个性化AI技术方案策略，提升客户满意度。AI解决方案设计： 根据客户的具体需求，设计创新的AI解决方案，重点围绕人工智能类云服务产品，确保方案合理性并满足客户需求。跨团队协作： 与公司内部AI产品团队与技术专家紧密合作，合作解决客户问题与提供方案。岗位要求：技术要求： 技术实践能力为刚性，具备大模型的动手实践\PoC的能力，有ai项目开发经验的优先学历要求：大专及以上，IT相关专业3年以上云计算/IT产业售前/IT运维交付/开发工作经验，1年以上人工智能领域相关技术岗位工作经验了解AI基础理论与算法、GPU计算、深度学习框架（如TensorFlow、PyTorch）。具备大模型开发、调优、提示词工程经验，对人工智能类云服务产品有实际操作经验者优先，有阿里云ACP认证优先。良好的沟通能力和技术文档编写技巧，能够清晰地向非技术人员传达技术方案。
AI Agent软件开发岗,外企德科数字技术有限公司,1.3-2.6万·14薪,杭州·滨江·长河,3-5年,本科,合资,10000人以上,软件/IT服务,,职位描述 岗位职责：- 负责AI Agent核心模块（推理引擎、任务规划、工具调用、RAG记忆系统等）的设计、开发与优化，支撑智能体自主决策与多任务协作。- 研究AI Agent相关算法与技术，结合业务场景选型优化，提升智能体交互体验与执行效率。- 参与系统架构设计，负责核心代码编写、测试与性能调优，解决研发过程中的复杂技术问题。- 配合算法团队完成技术验证落地，编写维护技术规范与开发文档，推动研发流程标准化。任职要求：- 数据结构与算法基础：扎实掌握常见数据结构（链表、树、栈、队列、哈希表等），熟练掌握排序、查找、动态规划、贪心等核心算法，具备较强的算法解题能力。- 编程能力：熟悉至少一种主流编程语言（Java/Python/C++），能够编写高效、规范的生产级代码；熟悉异步编程、模块化开发，掌握Git、Docker等工程化工具。
AI Agent 高级工程师,中安元生(浙江)生物科技有限公司,1-1.5万,杭州·余杭·良渚,1-3年,大专,民营,20-99人,生物/制药,,职位描述 我们希望寻找一位以工程和系统思维为核心、在LLM/Agent应用层有丰富实战经验的AI系统架构师，推动Agent能力在真实业务中的规模化落地。岗位职责1、负责公司产品的后端服务 / 系统架构设计与开发，参与大模型相关应用的技术研发与落地； 2、基于 Go/TypeScript 等开发语言，完成核心业务模块的编码、测试、优化与维护，保障系统高并发、高可用； 3、参与项目全流程，包括需求分析、技术方案设计、敏捷开发、联调测试及上线运维； 4、负责 API 接口、小程序、APP 等相关产品的后端开发与技术支持，保障产品功能稳定迭代； 5、跟进前沿技术，优化系统性能，解决开发过程中的技术难题，提升团队开发效率； 6、配合产品、测试等团队，完成需求评审、项目交付与线上问题排查。 任职要求 【必备技能】 1、本科及以上学历，计算机相关专业，1-3 年及以上后端开发经验； 2、精通 Go 语言，熟悉 Go 语言特性、并发编程及常用框架，有大型项目开发经验优先； 3、熟悉 TypeScript/JavaScript，了解前端开发流程，具备全栈开发能力者优先； 4、掌握数据结构、算法、计算机网络、操作系统等计算机基础知识； 5、熟悉常用数据库（MySQL/Redis 等）、缓存、消息队列等中间件的使用与优化； 6、熟悉敏捷开发流程，具备良好的编码习惯、代码规范和问题排查能力。 【加分项】 1、有大模型、AI 相关应用开发经验，熟悉大模型 API 对接、微调等技术； 2、有云原生（Docker/K8s）、微服务架构设计与开发经验； 3、有小程序、APP 后端开发经验，熟悉微信 / 支付宝等小程序生态； 4、具备良好的沟通能力、团队协作能力，能独立承担模块开发任务；
FICO需求分析师,宁德新能源科技有限公司,1.2-2万·16薪,杭州·上城·四季青,5-10年,本科,合资,10000人以上,动力电池,最佳雇主,职位描述 岗位职责:1.负责财经数字化转型的战略规划2.负责财经数字化转型项目的项目管理和实施落地3.负责财经领域需求的收集、分析，输出软件详细设计说明书，跟踪需求完成进度。4.负责财经领域的流程梳理、优化与系统运维运维 任职要求:1.计算机或相关理工科专业本科或以上学历，财务类专业优先2.5年及以上SAP FICO模块的实施经验，至少1个大型制造企业SAP项目实施经验3.掌握财务共享中心、报表合并、物料分类账、利润中心会计、获利分析等功能的使用及实施4.具备SAP FICO模块的知识和实施运维能力5.善于沟通和协作，工作积极主动，责任心强，具有优秀的文文案写作能力和学习总结能力
AI大模型工程师,中软国际,面议,杭州·余杭·仓前,1-3年,本科,上市公司,10000人以上,软件/IT服务,已上市,职位描述 岗位需求1. 专业背景：计算机科学与技术、软件工程、数学、统计学等相关专业，本科及以上学历。2. 编程与数据库技能：精通 Python编程语言， 3.有模态VLM/视频/具身VLA/AIGC方面算法或者仿真经验。
Python开发工程师（AI Agent方向）,浙江贝玛教育科技有限公司,1.5-2万,杭州·萧山·盈丰,1-3年,本科,民营,300-499人,课外培训与资格考试,,"职位描述 一、岗位职责1、参与基于OpenClaw框架的自动化应用开发，负责核心业务逻辑的设计与实现。负责核心业务系统的后端开发与维护，编写高质量、可扩展的Python代码；2、深入理解业务需求，基于Gateway/Agent/Skills/Memory架构进行模块化开发与调优；3、负责Python后端服务的开发与维护，确保系统的稳定性、可扩展性及性能优化；4、（加分方向）探索AI Agent在量化数据采集、自动化交易策略执行等场景的落地应用。5、跟踪前沿技术，参与技术攻关，解决开发过程中的技术难题。 二、基本条件 1、本科及以上学历，计算机相关专业，2年以上Python开发经验； 2、Python基础扎实，熟悉常用标准库及第三方库（如requests, FastAPI, Django, Flask等）； 3、框架能力：熟悉OpenClaw框架，深入理解其核心架构设计，包括Gateway（网关）、Agent（代理）、Skills（技能）、Memory（记忆）等模块的作用与交互机制。 4、技术基础：Python基础扎实，具备良好的编码习惯，熟悉常用的标准库与第三方库，熟悉网络编程、多线程/异步编程（如asyncio）。 三、经验要求 1、量化交易经验：对金融市场有浓厚兴趣，有个人或实盘的股票、期货或加密货币交易经验；熟悉量化交易基本概念，了解常见策略逻辑（如趋势跟踪、网格交易、套利等），或使用过量化相关数据接口（如TuShare, AkShare, CCXT等）。 2、AI Agent开发经验：具备AI Agent实际开发经验，熟悉至少一种主流Agent框架（如LangChain, AutoGen, CrewAI等）；熟练掌握提示词工程（Prompt Engineering），能设计和优化大模型交互提示词以完成复杂任务拆解与执行。"
智能体（AI Agent）开发,杭州射机狮文化创意有限公司,2.2-2.9万,杭州·萧山·盈丰,经验不限,,民营,10000人以上,文化艺术/娱乐,,"职位描述 负责智能体（AI Agent）开发设计和开发基于大语言模型的智能体系统，深度参与智能体平台的架构设计，核心功能开发以及性能优化工作，推动AI技术在实际业务场景中的创新应用。主要职责：1，设计和实现基于LLM的智能体核心架构，包括任务规划，对话管理，意图识别和流程工程；2，负责智能体平台的后端服务开发与优化，打造高性能，高可用的分布式系统；3，开发和优化RAG系统，提升模型在垂直领域的专业表现和知识理解能力；4，实现多模态交互能力，基于LangChain/Llamalndex等框架构建丰富的用户体验；5，设计智能体记忆管理系统，通过向量数据库优化长期记忆能力；6，参与Multi-Agent协作系统设计，构建可扩展的智能体生态平台。任职要求：1，计算机相关专业本科及以上学历，3年以上相关开发经验：2，编程经验丰富，精通Python,Java,Go其中一种或多种编程语言，具备良好的软件框架和应用设计能力；"
ba需求分析师,恒天软件,8000-15000元·13薪,杭州·西湖·蒋村,1-3年,本科,合资,1000-9999人,软件/IT服务,C轮,职位描述 岗位内容：1. 外派道富银行，收集、整理和分析系统、产品及客户需求，制定需求文档，并持续跟踪和优化产品特性和表现。2. 协调开发、测试、市场等多个部门，完成产品的开发、测试和上线，并定期对产品业绩、用户反馈等数据进行分析。任职要求：1、本科及以上学历，英语六级以上，有出色的沟通能力及良好的英语交流能力。能够用英语流利沟通交流以及回复邮件，能够独立和不同site团队开会沟通讨论需求；2、具备金融市场方面的知识，尤其是外汇方面的知识；3、有2年以上的业务、系统分析方面的经验，熟悉软件开发的生命周期；4、学习能力、统筹能力、总结能力出色，有一定的抗压能力。加分项：1. 计算机、金融相关专业；2. 具备相关金融背景、经验者优先。
