岗位名称,公司名称,薪资范围,工作城市,经验要求,学历要求,公司性质,公司规模,公司行业,公司标签,职位描述
数据标注/agent评测,上海思芮信息科技有限公司,8000-16000元,北京·海淀,1-3年,本科,民营,1000-9999人,软件/IT服务,,职位描述 位职责1. 按业务要求，完成多模态Agent的能力评测与数据标注工作，覆盖多轮对话、工具调用、图像/视频创作交互等场景；2. 严格遵循评测标准，对大模型文本、AI生图/视频等多模态内容进行质量、合规性及能力表现评估；3. 跟踪评测数据，定位模型能力短板与异常问题，输出清晰的评测记录与分析汇报，为模型优化提供明确方向；4. 参与评测规则与标注规范的迭代优化，配合团队完善评测流程，保障评测结果的准确性与高效性。任职要求1. 统招本科及以上学历，影视传媒、中文、新闻传播、语言学等相关专业优先；2. 具备扎实的文字功底，语言敏感度高，有大模型/AI相关评测或标注经验优先；3. 了解Agent、AI生图/视频相关产品与基础原理，对内容质量有良好判断力；4. 逻辑思维清晰，具备较强的问题发现与分析能力，能快速定位评测中的异常情况；5. 阅读效率高，对文本与视觉内容有敏锐的质量感知；6. 工作严谨细致，责任心强，执行力与抗压能力良好，能适应快节奏工作；7. 具备良好的沟通协作能力，能配合团队完成评测任务迭代与流程优化。加分项1. 有影视/广告/自媒体短视频创作，或平台运营相关经验；2. 了解Agent实现原理或主流评测方案，有相关落地实践经验。
BA经理（数据治理方向） J15817,北方华创,1.5-2.5万·14薪,北京·大兴·荣华街道,5-10年,本科,国企,1000-9999人,半导体/芯片,最佳雇主,职位描述 岗位职责 • 负责ISC业务域全链路数据体系搭建，完成业务指标定义、口径统一、指标建模与日常迭代维护，保障数据准确性、一致性、可用性• 主导ISC业务域数据治理工作，包括数据标准制定、数据质量监控、异常数据排查、数据资产梳理、元数据管理，解决数据乱象问题• 深度参与ISC业务部门年度规划、业务策略制定、项目落地全流程，基于数据输出业务分析报告、优化建议，支撑业务决策• 对接业务、研发、运营等多方团队，梳理业务数据需求，完成数据取数、报表开发、可视化看板搭建，满足日常数据查询与分析需求• 负责ISC业务域数据流程规范落地，推动数据闭环管理，提升团队数据化运营能力• 跟踪行业数据应用最佳实践，结合业务场景优化数据工作方法，持续提升数据价值专业能力• 具备完整的指标体系搭建能力，能够独立进行指标体系搭建与指标架构设计• 具备数据治理项目实操经验，理解数据标准、数据质量、数据资产全流程管理• 具备优秀的业务理解能力，能够快速吃透ISC业务逻辑，将业务需求转化为数据方案• 熟练使用Excel、帆软等数据分析与可视化工具• 具备较强的方案设计与汇报能力• 具备良好的逻辑思维、问题排查能力，能够独立解决数据相关问题 任职资格： • 本科及以上计算机、统计学、管理信息系统相关专业• 10年以上装备制造业工作经验• 8年以上数据管理经验• 精通指标设计与数据治理• 主导数据相关项目落地实施5个以上• 具备多部门沟通协调能力• 特别优秀者可放宽要求
Pricing Analyst 价格分析师,中外运—敦豪国际航空快件有限公司,1.6-2.3万,北京·大兴·荣华街道,3-5年,本科,合资,1000-9999人,货运物流,,"职位描述 Overall Role Purpose 职位宗旨To improve profitability and meet strategy goals of DHL, implement the pricing standards for DHL services to all customer groups based on pricing strategy. And prepare reports that enable pricing strategy to be developed and informed business decisions to be made.为了提高利润和实现DHL的战略目标，根据价格策略，为所有客户制定DHL服务的价格标准。并为价格策略的实施准备相关分析报告，以便辅助商业决策的制定。Accountabilities 关键职责1. Attend sales calls with sales person to better understand customer requirements.与销售人员一起拜访客户，更好的了解客户要求。2. Provide the daily pricing consulting.提供日常的价格方面的咨询。3. Ensure timely sharing of pricing related information for accurate billing and price quotes确保及时提供与定价有关的信息，准确报价4. Produce profitability reports and analysis提供利润相关分析报告5. Review all requests for rate changes and rates for new business to ensure they comply with policy.回顾所有对价格更改和设定新价格的要求，确保与价格政策相符。6. Assist pricing manager to conduct the professional pricing training.协助价格经理提供专业的价格培训。Skills / Qualifications技能要求与任职资格1. Business or Finance Degree preferred商务或财务专业本科优先2. Experience in a product and or service pricing role, or in a marketing or business analysis position有产品或服务价格的工作经验，在市场部任职或有商业分析的经验3. Excellent analytical ability.优秀的分析能力4. Software skills (Word, Excel, PowerPoint, etc)软件技术(Word, Excel, PowerPoint, 等)5. Proficient communication skills, spoken and written, in both English and Chinese/ Mandarin优秀的沟通技能，书面和口头的英语和中文"
AI Agent / AI 应用开发工程师,北京天下先智创机器人技术有限责任公司,2.5-3.5万,北京·大兴·荣华街道,3-5年,本科,民营,20-99人,专用设备制造,天使轮,职位描述 工作地点：北京/深圳1、负责企业级 AI Agent / AI 应用系统的设计、开发与落地，支持公司内部 OA、人事、绩效、供应链、排产等业务系统的智能化升级。2、负责企业知识库和 RAG 系统建设，实现基于公司制度、流程文档、业务数据、生产资料等内容的智能检索、问答和辅助决策。3、负责设计并开发大模型工具调用能力，包括 Function Calling / Tool Calling、API 调用、数据查询、流程触发、审批辅助等功能。4、负责构建面向企业内部场景的 AI 工作流，例如智能审批助手、绩效分析助手、人事问答助手、供应链数据查询助手、排产建议助手等。6、与全栈开发工程师协作，推动内部系统 API 标准化、权限体系、日志审计和数据结构设计，确保 AI Agent 能安全、稳定地调用业务系统能力。7、跟踪并评估主流大模型、Agent 框架、RAG 框架、向量数据库和 AI 开发工具，结合公司业务场景进行技术选型和落地验证。8、负责 AI 应用的效果评估、提示词优化、知识库优化、召回准确率优化和异常问题排查。9、参与制定企业内部 AI 应用规范，包括权限边界、数据安全、人工确认机制、操作留痕和模型输出质量标准。 任职要求 本科及以上学历，具备 2 年及以上后端开发、AI 应用开发或大模型应用开发经验。 熟练掌握 Python，或熟悉 Go / Java 中至少一种后端开发语言，具备良好的工程化开发能力。 熟悉主流大模型应用开发方式，理解 Prompt Engineering、RAG、Embedding、向量检索、Function Calling / Tool Calling 等核心概念。 熟悉 LangChain、LangGraph、LlamaIndex、Dify、FastGPT、Coze、OpenAI Agents SDK 等一种或多种 AI 应用 / Agent 开发框架。 熟悉向量数据库或检索组件，如 Milvus、Qdrant、Chroma、pgvector、Elasticsearch 等。 具备良好的 API 设计能力，理解 RESTful API、权限控制、日志追踪、异常处理、数据安全等后端工程基础。 能够独立完成从需求分析、技术方案设计、原型开发、上线部署到效果优化的完整闭环。 对企业内部管理系统有一定理解，能够将 AI 能力与具体业务流程结合，而不是停留在 Demo 层面。 具备较强的学习能力、问题拆解能力和跨部门沟通能力，能够主动理解业务需求并推动落地。 【专业要求】（必须） 计算机科学与技术、软件工程、人工智能、数据科学与大数据技术、信息管理与信息系统、自动化、数学、电子信息等相关专业。 【加分项】 有企业知识库、智能问答、RAG、AI 助手、Agent、AI Workflow 等实际项目经验。 有 OA、ERP、MES、SCM、APS、人事系统、绩效系统、审批系统等企业管理系统相关经验。 有大模型应用私有化部署、模型网关、LLMOps、Prompt 管理、向量库调优经验。 熟悉企业权限体系、数据安全、审计日志、人机协同审批等机制。 有开源项目、技术博客、GitHub 项目或 AI 应用作品集者优先。 熟悉 Docker、Kubernetes、CI/CD、Linux 部署环境者优先。 有机器人、智能制造、仓储物流、供应链、生产排程相关行业经验者优先。
AI Agent 评测,北京捷科智诚科技有限公司上海分公司,8000-14000元,北京·朝阳,1-3年,本科,民营,1000-9999人,软件/IT服务,,职位描述 外包阿里、外包阿里【工作职责】1、全链路评测质量监控:独立负责文本、VQA等评测项目的质量把控，通过打分、挑错，GSB对比等方式精准识别数据偏着与逻辑漏洞，确保交付结果高信度:质量分析与赋能:定期统计质检类(熟练运用Excel公式、图表进行基础分析)花可视化质盘报告，定位2、针对共性问题组织复盘培训，提升评测团队质量水位:4、跨团队协同闭环:与项目经理高效联动，及时反馈质量风险，参与评测方案评审确保质量要求贯穿项目全周期5、前沿能力拓展;跟踪大模型评测技术动态，探索语音、多态、Agent等新场景的质量控制方法，引入轻量工具或机制提升质检效率。【任职要求】1、1年及以上大模型评测或数据质检实操经验(硬性要求)，有专职评测项目质量控制经验者优先、具备扎实的文本理解、逻辑分析与审美判断力，能精准评估内容质量，适应对话文童等多场暴需求熟悉主流评测方法(打分、挑错、GSB等)4、熟练使用Omce(尤其EXC:el函数、数据透视表等)进行质量数据统计与趋势分析具备基础数据处理能力2、持续关注AI技术演进，学习能力强，能快速掌握新型评测场暴的质量控制要点3、具备扎实的文本理解、逻辑分析与审美判断力，能精准评估内容质量，适对话、文童等多场景需:LV充评测方法(打分、挑错、GSB等)4、熟练使用Ofice(尤其Excel函数、数据透视表等)进行质量数据统计与趋势分析，具备基础数据处理能力;持续关注AI
AI Agent 全栈开发,北京思云博智科技有限公司,1.5-2.3万,北京,1-3年,本科,20-99人,软件/IT服务,,,职位描述 【关于我们】我们是一支处于高速发展阶段的创业团队，正致力于探索和构建下一代 AI Agent 智能体产品。在这里，你将不是一颗螺丝钉，而是核心成员之一。我们提供优厚且具有竞争力的薪资待遇，你将与我们共同经历产品从0到1的完整旅程，将最前沿的AI技术转化为颠覆性的用户体验，并定义智能体与人类协作的未来。如果你对AI充满热忱，渴望在浪潮之巅创造未来，我们期待你的加入！【你将负责】1. 核心开发：深入参与AI Agent产品的核心架构设计与全栈开发，攻克关键技术挑战。2. 产品共建：全程参与产品从概念到落地的完整闭环，包括技术方案制定、原型开发和快速迭代，将你的想法注入产品基因。3. 体验优化：与产品和设计团队紧密协作，将你对UI/UX的深刻理解和国际化审美，转化为流畅、直观、一流的用户体验。4. 技术探索：保持对行业的高度敏感，追踪AI及Agent领域的最新动态，探索并推动前沿技术在产品中的创新应用。【我们希望你】必要条件：1. 教育背景：计算机科学、软件工程、人工智能等相关专业，本科或硕士生（985、211、USNews/QS Top 100院校背景优先）2. 技术栈：具备扎实的软件工程基础，能熟练运用 React/Next.js 与 Python 技术栈，并能够在指导下独立完成模块的全栈开发与联调。3. 个人特质：对技术充满热忱，具备广阔的视野、创新精神和独立思考能力；乐于在快速变化的环境中自我驱动，享受与创业团队一起探索未知，并拥有强烈的主人翁精神和责任感。4. 产品与设计感：拥有出色的产品感和用户导向思维，具备国际化的设计视野和审美，对UI/UX有体系化的理解，并善于吸收海内外优秀设计。加分项 (满足任一项都将是巨大优势)：1. Agent与LLM核心技术：对Agent或AI应用开发有实际经验，熟悉LangChain/LangGraph等主流框架，并对RAG、提示工程、向量数据库等LLM核心技术有深入理解或实践。2. 自动化与工作流编排：具备端到端自动化开发经验（如Playwright、Computer Use），熟悉n8n/Dify等工作流编排平台或有自研编排器经验者优先。3. 前端工程与可视化：在前端领域有深入探索，尤其在可视化编辑器（如ReactFlow/GrapesJS）、前端可观测性（Tracing/Logging）等方面有实践经验。4. AI原生开发实践：是Cursor等AI编程工具的重度用户，在利用AI提升研发效率、沉淀“AI结对编程”最佳实践方面有深入探索。岗位福利：1.我们提供优厚且具有竞争力的薪资待遇。2.依法缴纳五险一金，享受国家法定节假日。3.带薪年假、病假、婚假、产假等各项福利假期。4.节日慰问福利、员工聚餐团建、电话费补助等。5.岗前及在岗技能培训，工作稳定有保障。
Product Manager,ABB,面议,北京·朝阳,经验不限,本科,外商独资,10000人以上,仪器仪表,优选雇主,"职位描述 Reporting to:Product Market Manager Your role and responsibilities You will be mainly accountable for: Collects and analyzes customer needs and market requirements, defines and owns the market specification for multiple service category offering, determines pricing, cost and investment goals Owns and maintains the installed base potential for the service product Responsible for the profitability and life cycle of the ACS580MV service products including the categories offering by defining pricing guidelines, market position, and giving input regarding service offering offering cost, deployment of the offering and entitlement management Contributes to the development and owns the value propositions of new service categories per segment and channel Owns and develops product services offering strategy, through the different categories (roadmap, go-to-market, positioning, pricing, business model, business case) that maximizes competitiveness and profitability Develops and maintains a global reference price list appropriate to both ABB internal offering positioning strategy and competitor offerings and ensures that it is developed and deployed in line with the needs of individual markets Performs competitor analysis and evaluates new market opportunities Drives the service product offering market communication strategy to the after sales markets, inputs to marketing for category offering launches and training. Manages new services product offering launch and life cycle from phase-in to phase-out Manages different channel to market scenarios in coordination with channel partners and Marketing & Sales to ensure the best market coverage Owns the service product offering commercial readiness (sales collaterals, service delivery blueprint, etc.) Ensures commercial support to Sales force for critical or special negotiations Defines success KPIs for the service category offering (top line, bottom line, etc.) Defines and oversees recovery plans as necessary Defines pricing strategies and manages the global frame agreements to ensure one ABB approach Qualifications for the role Bachelor's degree or above, with a preference for majors in power electronics, electrical engineering and automation, automation, and related fields Above 5 years of working experience as a product manager, project manager, on-site service engineer or technical support engineer Familiar with medium voltage frequency converter products and services Fluent in English oral & written Can accept international business trips More about us ABB Motion Service Division serves customers worldwide by maximizing uptime, extending product life cycle and enhancing the performance and energy efficiency of their electrical motion solutions. The Division is leading the way in digitalization by securely connecting motors and drives, increasing operational uptime and improving efficiency. The services offered make the difference for our customers and partners every day by helping keep their operations running profitably, safely and reliably."
OceanBase工程师(J11972),北京中亦安图科技股份有限公司,1.6-2.1万·13薪,北京·顺义·空港,3-5年,本科,民营,500-999人,软件/IT服务,已上市,职位描述 岗位职责: 1、提供专业的OceanBase（OB）数据库架构咨询服务，协助客户完成应用系统的适配和改造，确保系统在OB环境中的高效运行。 2、针对客户现有系统的SQL语句进行性能调优，输出技术方案和相关文档，以提高系统整体性能和稳定性。 3、负责将Oracle、DB2、MySQL、TiDB等多种数据库系统迁移到OceanBase，确保迁移过程的顺利进行并解决其中遇到的各类技术问题。 4、负责OceanBase数据库的日常运维保障，及时处理各类故障，确保系统的稳定运行。 任职要求: 1、精通Oceanbase、Oracle或MySQL其中之一的数据库，深入了解其运行机制和架构体系，能够熟练操作和管理。 2、熟悉Linux或Unix操作系统，具备SHELL或Python编程能力，能够通过编写脚本或程序解决工作中的效率问题，具备良好的编程习惯和风格。 3、精通数据库性能优化技巧，能够从网络、CPU、IO、操作系统、数据库等全链路上定位和解决性能瓶颈，提高数据库的使用体验和运行效率。 4、具有大型行业应用架构设计和实施经验，具备较强的客户需求调研和需求分析能力，能够根据客户需求提供个性化的技术解决方案者优先考虑。 5、该职位需要驻场工作，需具备较强的客户沟通和协作能力，能够适应客户现场的工作环境和节奏。 我们提供： 有竞争力的薪酬和福利 专业的培训和成长机会 良好的工作环境和团队氛围 参与前沿技术项目的机会
Agent服务端开发实习生,北京三快在线科技有限公司,面议,北京,经验不限,本科,上市公司,10000人以上,互联网生活服务(O2O),最佳雇主,职位描述 美团平台为用户的基础产品体验负责，还承担了美团的用户增长、市场和品牌营销以及多条业务线的产品设计职责，建立了融合文字、图片、视频和直播等不同形式的內容生态系统，同时整合地图服务部、客户服务和体验部、企业业务部、网约车业务部等部门，致力于用科技提升美团数亿消费者、近千万商家、骑手、司机和团长的服务体验。美团平台拥有高并发、多业务的复杂场景，为技术深度优化提供了最佳实践可能。这里有简单、讲逻辑、有爱的团队，更是一块理想的实战场地，舞台广阔，欢迎你来尽情施展。岗位职责1. 参与大模型相关应用与创新项目，覆盖人机对话、RAG（检索增强生成）、AI Agent 等前沿技术方向，推动智能技术在业务中的深度融合与创新。2. 与业务团队紧密协作，将AI产品构想转化为可落地的工程解决方案，推动AI能力在实际业务场景中的高效应用。3. 参与AI工程系统的开发和持续优化，提升系统性能和用户体验。4. 关注AI领域前沿技术动态，积极参与技术探索与创新实践。岗位基本需求1. 计算机、软件工程、人工智能等相关专业本科及以上学历。2. 熟悉Java编程语言，具备良好的编程规范和代码管理基础。3. 了解大语言模型（LLM）相关知识，了解大模型Tool Calling / RAG等基本原理及应用场景。具备以下者优先1. 有Agent相关的实习或项目经验。2. Java编程能力优秀。岗位亮点1. 参与行业前沿的人工智能项目，获得技术成长与落地实践机会。2. 提供实习期间的薪资福利和职业发展空间。3. 团队氛围开放，鼓励AI创新，为探索多元业务场景提供空间。
AI大模型应用及Agent开发工程师,中创智维科技有限公司,1.8-3万,北京·海淀·羊坊店,3-5年,本科,民营,100-299人,人工智能,,职位描述 岗位职责 1. 参与 AI 大模型应用项目的前期调研与需求分析，和产品经理、行业专家合作，评估设计方案的技术可行性，预测技术风险并制定应对策略。 2. 使用 langchain 框架搭建 AI 大模型应用架构，完成模型加载、配置和优化。主导 RAG 系统开发，涵盖数据预处理、检索和生成模块开发及模型融合，优化算法和策略，推动 AI 与行业业务融合。 3.将开发好的 AI 应用集成到客户现有业务系统，确保数据交互流畅、功能协同正常。 4.负责 AI 大模型应用日常运维，监控系统状态，及时处理故障，保障系统稳定运行。 5.与跨部门团队成员密切沟通，分享项目进展和技术信息，共同解决开发难题，保障项目交付。 任职要求 1. 211/985本科及以上学历，计算机相关专业。3 年以上 AI 项目开发经验，有大型项目经验优先；至少 2 年基于 langchain 框架开发经验，熟练使用其组件及 langGraph、langFlow 等工具。至少能熟练使用一种矢量数据库。 2.精通 Python，熟悉 Django、Flask 等框架。理解数据结构和算法，掌握常见算法技巧。熟悉 langchain 框架及生态，掌握 RAG 技术和常见算法、模型。具备深度学习和机器学习知识，熟悉 TensorFlow、PyTorch 等框架。 3.有行业算法应用开发经验，熟悉至少一个行业的业务流程和数据特点，能融合 AI 与行业业务，了解行业法规规范。 4. 具备良好的团队协作和沟通能力，较强的问题解决和学习能力，有责任心和自我驱动力，富有创新精神和产品思维。
