岗位名称,公司名称,薪资范围,工作地点,学历要求,经验要求,公司规模,公司行业,福利待遇,职位信息
AI后端工程师 / Agent Engineer,天奕归心,200-300元/天,武汉,学历不限,,0-20人,计算机软件,保底工资|五险一金|绩效奖金|定期体检|意外险|补充医疗保险|年终奖,【岗位职责】 Agent 架构boss落地： 深度参与公司面向政企大客户的核心 AI 业务系统，负责多智能体（Multi-Agent）工作流的后端研发与⼯程化落地 底层服务封装： 负责⼤模型 API 调度、复杂业务逻辑的封装、数据库设计及⾼并发场景下的性能调优 极速迭代： 结合最新的 AI 编程工具，快速响应产品需求，完成从模块设计到上线的端到端闭环开发。 【职位要求】 统招本科及以上学历，计算机、软件工程等相关专业。 熟练掌握 Python/Node 中的⾄少一门语言，工程基础扎实。 有独立项目经验、熟悉主流数据库及云服务部署者优先。 【核心加分项 | AI-Native 开发者】 拒绝古典编程！我们极度欢迎实战派 Agent 工程师。熟练使用 Cursor Claude Code、OpenClaw 等前沿自主编程框架者优先；有 Harness Engineer、Agent Engineer实战经验者优先 实战至上： 不看顶会论文数量，只看你用最新技术栈能多快把代码跑出来并跑通业务 【你将获得】 拒绝外包与拧螺丝： 你将直接操盘千万级政企 AI 项目的底层算力与高并发业务场景 纯粹的极客文化： 只看代码不看资历。表现优异且能扛下核心模块者，直接提供全职核心研发 Offer 及期权激励
AI Agent实习生,北京全质科技,200-350元/天,武汉,学历不限,,100-499人,互联网,加班补助|餐补|员工旅游|法定节假日三薪|保底工资|工龄奖|带薪年假|团建聚餐|年终奖|意外险|全勤奖|五险一金|绩效奖金,来自公司简介 我们是一家致力于推动AI来自在制造型企业应用的科技公司，首先致⼒于来自通过先进的AI解决⽅案解决⼯业的需要，推动技术变革。同时公司也有咨询和培训业务板块。 公司网站：www 实习岗位概述 主要⼯作是深入理解AI模型的逻辑，研究其在工业领域应用中的性能。这是一次深入AI工业界核心流程的绝佳机会。 主要职责 1、模型评估： 根据既定的测试用例和评估标准，对AI模型（如Deepseek、计算机视觉等）的输出结果进行校验与评估； 2、AI Agent训练： 选用合适的Agent路线及方式，进行训练； 3、优化建议： 在实习过程中，思考并尝试优化现有的流程、标准或工具，提出建设性意见。 任职要求 学历专业：在读，计算机科学、人工智能、数据科学、电子信息、机械工程或相关专业优先，其他专业也可投递。 核心能力：对人工智能、机器学习有浓厚兴趣和一定了解。拥有良好的沟通能力和团队协作精神。 个人特质：具备主动学习和解决问题的能力，有好奇心和批判性思维。 通过实习将收获 1、深入行业的实践经验： 零距离接触AI产品的工业化流程，理解AI Agent从研发到落地的全生命周期。 2、宝贵的专业技能： 系统掌握AI的方法论和实践，提升分析、问题诊断和跨团队沟通能力。 3、具有竞争力的实习津贴和友好的工作氛围。 我们期待充满热情和潜力的同学加入团队进行实习，实习生将有机会获得全职工作的录用通知，共同塑造更智能的未来！
AI Agent 开发实习生（针对27届）,轻度科技,150-200元/天,武汉,本科,,100-499人,互联网,法定节假日三薪|五险一金|绩效奖金|餐补|零食下午茶|年终奖|团建聚餐|节日福利|保底工资|定期体检|带薪年假,"请仔细阅读岗位信息，再进投递 1、仅针对27届同学，有转正的机会 2、本岗位需要全程线下面试，如不能线下面试请勿投递 3、实习生时间至少保证3个⽉，6个⽉更佳 岗位职责： 1、配合⼯程师完成 AI Agent的功能开发，尝试在自动化办公、研发提效等场景进行落地。 2、协助探索 Agent 与外部⼯具（如 API、数据库、搜索等）的连接，编写基础的插件或工具调用逻辑。 3、参与 Prompt 的迭代优化，协助完善 RAG（检索增强生成）的效果，提升 Agent 回答的准确性。 4、调研国内外最新的 AI 框架和开源项目（如 LangChain, Dify 等），并输出简单的调研报告或 Demo 5、协助建立 Agent 的基础评测集，记录并分析 Agent 在实际对话中的表现，辅助优化体验。 任职要求： 1、本科及以上学历，计算机、人工智能、软件工程等相关专业，至少可以实习3个月 2、熟悉Python 或 Node 基础，具备良好的算法与数据结构基础，写过一个完整的 Demo 项目加分。 3、深度模型爱好者，对 GPT、Claude、DeepSeek 等大模型有使用经验，了解 Prompt 工程的基本原理 4、具备快速上手新技术的能力，能独立阅读英文文档，对 AI Agent、RAG 等概念有基本认知 5、逻辑思维严谨，能够将复杂的业务描述拆解为具体的技术步骤，具备良好的沟通意愿 加分项 1、在 GitHub 上有个人 AI 相关的小项目，或活跃参与过开源项目。 2、使用过 Dify、Coze 或 LangChain 等框架搭建过自己的“数字分身”或自动化工具。 3、熟悉基础的 Web 开发（如 Fastapi, Vue, React 等）。 4、持续 3 个月以上者优先"
26年实习生-AI应用/AI agent开发-武汉东莞,华为技术有限公司,500-1000元/天,武汉,学历不限,,10000人以上,计算机软件,员工旅游|加班补助|股票期权|节日福利|生日福利|五险一金|免费班车|团建聚餐|定期体检|法定节假日三薪|带薪年假|保底工资|零食下午茶|绩效奖金|夜班补助|年终奖|交通补助|补充医疗保险|离职补偿|节假日加班费,AI技术应用岗位职责： 1、参与boss实际产品的AI大模型与AI算法在各类业务场景中的应用开发、集成与迭代优化； 2、参与AI大模型与AI算法应⽤相关的需求分析、模型微调、RAG检索 ，提升模型在各类场景下的应⽤效果； 3、参与产品、数据、业务等团队协作，建⽴AI大模型与AI应用相关的数据分析、效果评估、问题定位与持续优化，提升⽤户体验和业务价值。 AI agent开发 岗位职责： 1、深耕记忆管理、自主决策、代码生成技术，持续提升Agent上下文管理、规划推理和工具调用等核心能力，支撑信息获取、应用生成、代码生成、办公文档、GUI操控智能体的构建； 2、面向预训练/后训练构建Agent的复杂任务规划、Repo级长程轨迹交互、多步工具编排等高价值数据生产管线，强化推理深度、决策鲁棒性与复杂场景适应力，拓展智能体能力边界； 3、探索强化学习与Agent的深度融合，构建环境反馈驱动的策略优化机制，提升复杂决策场景的泛化性和准确性； 4、负责业界前沿技术分析和规划，与领军专家和科研团队合作创新，探索自主演化、多智能体协作、复杂代码生成等Agent技术前沿，提升技术竞争力与影响力。
后端/Agent开发实习生,墨泽如如科技有限公司,100-150元/天,武汉,本科,,20-99人,人工智能,五险一金|定期体检|节假日加班费|绩效奖金|股票期权|有无线网|底薪加提成|保底工资|年终奖|团建聚餐|加班补助|员工旅游|带薪年假|夜班补助,- 基本 - 后端业务的开发，高性来自能API的构boss建，喜欢思考设计架构问题； - 良好的写注释习惯，API文档清晰； - 参与Agent服务的开发，读读Agent相关开源仓库代码； - 扩展 - 了解向量数据库的基本概念，能在 1 小时内学会手搓RAG搜索与知识库搭建； - 了解PyTorch模型的基本知识，掌握基本的模型训练和模型部署推理最佳； - 熟悉Docker构建、Linux系统、shell脚本、爬虫等基本技能； 「任职要求」 - 00后优先，B站up优先，黑客优先； - 对前沿技术进展有热情，平时混迹Hugingface、GitHub等开源论坛； - 有优质开源项目居佳，发表过AI论文，或做过大模型套壳项目； - 熟悉ComfyUI、Dify、nonebot、autogen、swarm、llamaindex、langchain等任一框架使用优先（也可以面试前现学）； - 有一定的责任心，起码对自己写的代码bug负责，技术学习上进快；
AI  Agent开发工程师（2027校招）,风行,150-180元/天,武汉,本科,,500-999人,互联网,保底工资|五险一金|交通补助|生日福利|年终奖|节假日加班费|带薪年假|法定节假日三薪|定期体检|包吃|夜班补助|节日福利|绩效奖金|团建聚餐,"岗位职责： 1、boss基于Cursor、Dify、n8n等，快速搭建和迭代AI智能体与来自自动化工作流。 2、针对AI工作流无法覆盖的复杂场景，使⽤Python等进⾏前后端API与服务开发。 3、主动跟踪AIGC相关技术的最新进展，评估并将其整合⾄现有工作流中。 4、与产品、业务等团队紧密沟通，准确理解需求，并将之转化为稳定、可靠的AI应用解决⽅案。 任职要求： 1、计算机技术、软件工程、人工智能等相关专业优先，985,211院校优先； 2、有实习经验优先、对AI工具使用和AI技术发展较熟悉； 3、具备良好的Prompt编写和优化能力，了解LangGPT等结构化提示词框架者优先； 4、学习能力强，有较强分析和解决问题的能力，具有较强逻辑思维能力和表达能力。 我们提供： 参与前沿AI技术落地，与优秀团队共同成长。 灵活的工作环境，鼓励创新。 有竞争力的薪酬与福利。"
AI Agent应用开发工程师 (MJ000242),海葵音乐,15-30K,武汉,学历不限,经验不限,500-999人,社交网络与媒体,定期体检|团建聚餐|节日福利|带薪年假|补充医疗保险|五险一金,"来自岗位宣言 我们不关心你是否有名校文凭或大⼚履历，不在boss意你是20boss岁天才少年还是50岁转型⽼兵。只验证⼀件事：你能否独立将AI Agent从概念转化为可上线的产品。 核心职责 1. Agent应⽤全栈开发 独立完成AI Agent应用的前后端开发：基于React/Vue构建流式对话界面（SSE/WebSocket），基于Python/Node开发高并发API服务 实现多轮对话状态管理、上下文压缩、长期记忆存储（向量库/图数据库）及会话恢复机制 封装ReAct/CoT/ToT等推理模式为可复用组件，支持动态切换策略 2. 大模型集成与工程化 集成多厂商LLM API（OpenAI/Claude/DeepSeek/Qwen等），实现统一抽象层、负载均衡与故障转移 开发Function Calling工具生态：标准化工具定义（JSON Schema）、参数校验、超时重试及错误兜底 构建Prompt版本管理系统，支持A/B测试、热更新与效果回滚 3. RAG系统应用开发 开发端到端知识库应用：文档解析（PDF/Word/图片）、智能分块、向量索引（Milvus/Pinecone/ pgvector）及混合检索 实现检索结果与生成模型的融合优化，开发引用溯源（Citation）功能，解决幻觉问题 构建多租户数据隔离方案，确保知识库权限管控与数据安全 4. 多Agent协作与自动化 开发Multi-Agent协作框架的应用层：角色定义、任务拆分、并行执行与结果聚合 实现Agent与外部系统的深度集成：数据库查询、API调用、文件操作、邮件/IM消息触达 开发自动化Workflow引擎（基于LangGraph/Dify/n8n或自研），支持可视化编排与定时触发 5. 性能优化与生产交付 优化首屏加载与首Token延迟（TTFT）：实现流式输出、智能缓存（Prompt缓存、向量缓存）、请求合并 建立成本监控体系：Token消耗实时统计、模型路由策略（高价模型 Fallback 到低价模型） 构建全链路可观测性：从用户提问到最终回答的完整追踪链，支持对话快照导出与问题回溯 6. 工程化与开发者体验 搭建Agent调试工具链：单步执行、断点调试、中间状态可视化、Prompt注入检测 实现沙箱安全机制：代码执行隔离、敏感操作鉴权、资源使用上限控制 建立CI/CD流水线，包含自动化测试（幻觉检测、边界Case回归）与灰度发布 我们期待的特质（替代学历要求） 极客精神：GitHub有持续维护的项目，或技术博客记录了解决复杂问题的过程 产品思维：能将模糊需求转化为技术方案，理解""可用""比""完美""更重要 快速适应：能在1周内上手新的Agent框架，2周内交付可演示的MVP 成本意识：清楚每1000次API调用的账单金额，懂得在效果与成本间权衡 注：面试时请带上你的代码（笔记本或GitHub），我们会花30分钟一起Review你过去解决过最棘手的一个Agent工程问题。"
AI Agent 全栈开发实习生（base武汉）,AutoAgents.ai,150-200元/天,武汉,本科,,20-99人,互联网,股票期权|员工旅游|绩效奖金|住房补贴|团建聚餐|生日福利|节日福利|年终奖|带薪年假|餐补|包吃|五险一金|交通补助,【关于我boss们】 我们是一支处于高速发展阶段的创业团队，正致力于探索和构建下⼀代 AI Agent 智能体产品。在这⾥，你将不是⼀颗螺丝钉，而是核心成员之⼀。你将与我们共同经历产品从0到1的完整旅程，将最前沿的AI技术转化为颠覆性的用户体验，并定义智能体与人类协作的未来。如果你对AI充满热忱，渴望在浪潮之巅创造未来，我们期待你的加入！ 【你将负责】 1. 核心开发：在导师指导下，深入参与AI Agent产品的核心架构设计与全栈开发，攻克关键技术挑战。 2. 产品共建：全程参与产品从概念到落地的完整闭环，包括技术方案制定、原型开发和快速迭代，将你的想法注入产品基因。 3. 体验优化：与产品和设计团队紧密协作，将你对UI/UX的深刻理解和国际化审美，转化为流畅、直观、一流的用户体验。 4. 技术探索：保持对行业的高度敏感，追踪AI及Agent领域的最新动态，探索并推动前沿技术在产品中的创新应用。 【我们希望你】 必要条件： 1. 教育背景：计算机科学、软件工程、人工智能等相关专业的在读本科或硕士生（985、211、USNews/QS Top 100院校背景优先），可连续实习3个月及以上，每周至少4天。 2. 技术栈：具备扎实的软件工程基础，能熟练运用 React/Next 与 Python 技术栈，并能够在指导下独立完成模块的全栈开发与联调。 3. 个人特质：对技术充满热忱，具备广阔的视野、创新精神和独立思考能力；乐于在快速变化的环境中自我驱动，享受与创业团队一起探索未知，并拥有强烈的主人翁精神和责任感。 4. 产品与设计感：拥有出色的产品感和用户导向思维，具备国际化的设计视野和审美，对UI/UX有体系化的理解，并善于吸收海内外优秀设计。 加分项 (满足任一项都将是巨大优势)： 1. Agent与LLM核心技术：对Agent或AI应用开发有实际经验，熟悉LangChain/LangGraph等主流框架，并对RAG、提示工程、向量数据库等LLM核心技术有深入理解或实践。 2. 自动化与工作流编排：具备端到端自动化开发经验（如Playwright、Computer Use），熟悉n8n/Dify等工作流编排平台或有自研编排器经验者优先。 3. 前端工程与可视化：在前端领域有深入探索，尤其在可视化编辑器（如ReactFlow/GrapesJS）、前端可观测性（Tracing/Logging）等方面有实践经验。 4. AI原生开发实践：是Cursor等AI编程工具的重度用户，在利用AI提升研发效率、沉淀“AI结对编程”最佳实践方面有深入探索。
全栈开发工程师（AI Agent/出海营销方向）,武汉谦闲科技有限公司,10-15K,武汉,本科,3-5年,20-99人,互联网,节假日加班费|团建聚餐|定期体检|生日福利|节日福利|带薪年假|绩效奖金|零食下午茶|加班补助|包吃|底薪加提成|年终奖|餐补|五险一金,"职位boss名称：全栈开发工程师（AI Agent / 出海营销方向） 所属部门： 研发部 / 创新业务部 汇报对象： 技术总监 / 业务负责人 工作地点： 武汉 岗位背景 我们正在打造下⼀代出海营销智能化平台。通过构建强⼤的 AI Agent（智能体），我们致⼒于为出海企业提供自动化的社媒运营、多语言内容⽣成、广告投放洞察与竞品分析服务。如果你对大模型技术充满热情，并希望看到 AI 技术在真实的全球化商业场景中落地生根，欢迎加入我们！ 岗位职责 • AI Agent 应用开发： 负责基于 LLM（大语言模型）的智能体应用全栈开发，包括但不限于内容创作 Agent、社媒运营 Agent、客服与转化 Agent 等，赋能出海营销全链路。 • 系统架构与全栈实现： 参与产品从 0 到 1 的设计与研发，负责前端交互界面（Web/SaaS）和后端服务端逻辑、数据库的整体搭建与迭代。 • RAG 与工作流构建： 搭建检索增强生成（RAG）系统，设计并优化多 Agent 协作工作流（Workflow），提升 AI 响应的准确性与业务逻辑连贯性。 • 海外生态对接： 负责对接海外主流营销平台与社交媒体的 API（如 Google Ads, Meta Graph API, TikTok for Business, X/Twitter, LinkedIn 等）。 • 性能调优与国际化： 针对出海业务场景，负责系统的国际化（i18n）架构设计、全球化部署及性能优化，确保系统高可用性。 任职要求 • 学历与经验： 计算机科学或相关专业本科及以上学历，具有 3 年以上 Web 全栈开发经验。 • 前端技能： 熟练掌握现代前端技术栈，精通 React / Vue / Next，具备良好的 UI/UX 还原能力与组件化思维。 • 后端技能： 精通 Python (FastAPI / Flask / Django) 或 Node (NestJS / Express) 或 Go，具备扎实的 API 设计与服务端开发能力。 • AI 落地能力： * 熟悉 OpenAI, Anthropic (Claude), Gemini 等主流大模型 API 的集成与调用。 • 深入了解并使用过至少一种 Agent/LLM 框架（如 LangChain, LlamaIndex, AutoGen, Dify, Coze 等）。 • 具备 Prompt Engineering（提示词工程）调优经验。 • 数据库与存储： 熟悉关系型数据库（PostgreSQL / MySQL）及 NoSQL（Redis / MongoDB），有向量数据库（Pinecone / Milvus / Qdrant 等）实际使用经验。 • 语言能力： 具备良好的英语读写能力，能无障碍阅读英文 API 文档及前沿技术论文，理解海外用户的产品使用习惯。 加分项 (Nice to Have) 1. 有出海营销 SaaS、AdTech（广告技术）、跨境电商相关业务开发经验，熟悉海外营销玩法者优先。 2. 有完整的 AI 衍生工具、独立开发项目（Indie Hacker）或开源 AI 项目贡献经验。 3. 熟悉 AWS / GCP / Azure 等海外云服务的自动化部署（CI/CD），了解 Docker / Kubernetes。 4. 了解数据爬虫技术及海外反爬机制处理。 福利待遇 • 薪资结构： 提供具有行业竞争力的底薪 + 绩效奖金+提成 • 技术氛围： 拥抱前沿 AI 技术，提供充足的 API Token 额度和算力支持，鼓励技术创新。 • 全球化视野： 深度参与出海业务，了解全球最新商业动态。 • 下午茶+节假日福利+团建"
Agent架构工程师,武汉新站台数字物...,150-200元/天,武汉,学历不限,,100-499人,企业服务,夜班补助|团建聚餐|绩效奖金|加班补助|工龄奖|全勤奖|有无线网|带薪年假|保底工资|包吃,岗位职责: 1. 负责Agent架构的设计与来自优化，提升系统稳定性与扩boss展性 2. 参与核⼼模块开发，推动技术⽅案落地并持续迭代 3.⼀定要会AI Agent，特别熟悉openclaw和Hermes深度运用 任职要求： 1. 善于沟通、按时完成上级交给的工作 2. 拥有良好的团队合作精神，能迅速融⼊团队 3. 具备良好的学习能力，能够不断改进工作方法
