岗位名称,公司名称,薪资范围,工作地点,学历要求,经验要求,公司规模,公司行业,福利待遇,职位信息
AI软件开发工程师（AI Agent）,数云物联,15-20K,北京,大专,5-10年,0-20人,计算机软件,定期体检|全勤奖|股票期权|五险一金|带薪年假,岗位职责： 1. 以 AI Agent 为核心生产力开来自发软件系统，针对 Web 来自应用、API 服务、数据处理管道等业务需求，主导设计并执⾏ Agent-first 开发流程，通过⾃然语⾔将需求分解为子任务，由 Agent 完成编码、测试、调试、文档⽣成，人工负责架构把关与最终验收； 2. 基于 LangChain、AutoGen、CrewAI、MetaGPT 等框架，设计并编排多 Agent 协作流水线，构建产品经理 Agent → 架构师 Agent → 开发 Agent → 测试 Agent → 运维 Agent 的协作链路，实现端到端的软件自动生成与迭代； 3. 构建可复用的 Agent 工具链与知识库，为 Agent 配置项目专属的代码库、API 文档、设计规范、测试用例集，编写高质量的 Prompt 模板与“思维链”，确保 Agent 稳定生成符合企业标准的代码； 4. 审查 Agent 产出的架构设计、核心模块代码及安全策略，识别并修复逻辑盲区或幻觉问题，承担人工兜底职责，保障系统可靠性、可维护性与可扩展性； 5. 建立度量体系（如需求到交付周期、人工介入次数、Bug 密度等），持续优化 Prompt、工具调用策略及 Agent 协作模式，提升“人 + Agent”团队的整体开发效能； 6. 跟进 Devin、SWE-agent、OpenDevin、GPT-Engineer 等前沿项目，评估其在企业级复杂系统开发中的可行性，并推动内部试点落地。 任职要求： 1. 熟悉 LangChain、AutoGen、CrewAI、MetaGPT 等主流 Agent 框架，具备实际项目应用经验； 2. 具备软件工程、系统架构设计能力，能够对 AI 生成代码进行有效评审与优化； 3. 精通 Prompt 工程与“思维链”设计，有构建企业级 Agent 知识库和工具链的经验； 4. 具备较强的数据敏感性和系统优化意识，能够通过反馈数据驱动 Agent 流程迭代； 5. 关注 AI 自主编程与智能体工程化前沿，具备技术预研与落地能力。
【远程办公】大模型Agent研发,北京海伴科技有限公司,150-260元/天,北京,本科,,0-20人,互联网,,我们在做什么？ AI来自大模型C端产品应用，具体产品形态处在保密阶段，如果感兴趣可boss以投递简历，深入细聊。 我们是谁？ 团队的小伙伴均来⾃抖⾳，信仰⽤技术（特别是AI技术）可以改变世界而聚在一起做⽬前AI技术最重要的应用之一。 加入我们能收获什么？ 和大厂Top5% AI大模型工程师一起合作，深入参与AI大模型应用产品研发，做有机会改变世界的事情。 岗位简述： 负责AI大模型C端产品工程研发，包括前端、后端、算法架构。
AI Agent / AI 应用开发工程师,北京天下先智创机器人,25-35K,北京,本科,1-3年,20-99人,自动化设备,补充医疗保险|意外险|加班补助|定期体检|团建聚餐|带薪年假|员工旅游|五险一金,工作地点：boss北京/深圳 1、负责企业级 AI Agent / AI 应用boss系统的设计、开发与落地，支持公司内部 OA、人事、绩效、供应链、排产等业务系统的智能化升级。 2、负责企业知识库和 RAG 系统建设，实现基于公司制度、流程⽂档、业务数据、⽣产资料等内容的智能检索、问答和辅助决策。 3、负责设计并开发⼤模型工具调用能⼒，包括 Function Calling / Tool Calling、API 调用、数据查询、流程触发、审批辅助等功能。 4、负责构建面向企业内部场景的 AI 工作流，例如智能审批助手、绩效分析助手、人事问答助手、供应链数据查询助手、排产建议助手等。 6、与全栈开发工程师协作，推动内部系统 API 标准化、权限体系、日志审计和数据结构设计，确保 AI Agent 能安全、稳定地调用业务系统能力。 7、跟踪并评估主流大模型、Agent 框架、RAG 框架、向量数据库和 AI 开发工具，结合公司业务场景进行技术选型和落地验证。 8、负责 AI 应用的效果评估、提示词优化、知识库优化、召回准确率优化和异常问题排查。 9、参与制定企业内部 AI 应用规范，包括权限边界、数据安全、人工确认机制、操作留痕和模型输出质量标准。 任职要求 本科及以上学历，具备 2 年及以上后端开发、AI 应用开发或大模型应用开发经验。 熟练掌握 Python，或熟悉 Go / Java 中至少一种后端开发语言，具备良好的工程化开发能力。 熟悉主流大模型应用开发方式，理解 Prompt Engineering、RAG、Embedding、向量检索、Function Calling / Tool Calling 等核心概念。 熟悉 LangChain、LangGraph、LlamaIndex、Dify、FastGPT、Coze、OpenAI Agents SDK 等一种或多种 AI 应用 / Agent 开发框架。 熟悉向量数据库或检索组件，如 Milvus、Qdrant、Chroma、pgvector、Elasticsearch 等。 具备良好的 API 设计能力，理解 RESTful API、权限控制、日志追踪、异常处理、数据安全等后端工程基础。 能够独立完成从需求分析、技术方案设计、原型开发、上线部署到效果优化的完整闭环。 对企业内部管理系统有一定理解，能够将 AI 能力与具体业务流程结合，而不是停留在 Demo 层面。 具备较强的学习能力、问题拆解能力和跨部门沟通能力，能够主动理解业务需求并推动落地。 【专业要求】（必须） 计算机科学与技术、软件工程、人工智能、数据科学与大数据技术、信息管理与信息系统、自动化、数学、电子信息等相关专业。 【加分项】 有企业知识库、智能问答、RAG、AI 助手、Agent、AI Workflow 等实际项目经验。 有 OA、ERP、MES、SCM、APS、人事系统、绩效系统、审批系统等企业管理系统相关经验。 有大模型应用私有化部署、模型网关、LLMOps、Prompt 管理、向量库调优经验。 熟悉企业权限体系、数据安全、审计日志、人机协同审批等机制。 有开源项目、技术博客、GitHub 项目或 AI 应用作品集者优先。 熟悉 Docker、Kubernetes、CI/CD、Linux 部署环境者优先。 有机器人、智能制造、仓储物流、供应链、生产排程相关行业经验者优先。
AI Agent + 后端实习生,上海远见琢实智能科技,200-400元/天,北京,本科,,0-20人,人工智能,加班补助|节假日加班费|绩效奖金|保底工资|团建聚餐|定期体检|带薪年假|零食下午茶|五险一金|年终奖|员工旅游|补充医疗保险|股票期权|意外险|底薪加提成|生日福利,*核boss心参与 AI Agent 开发，基于大语言模boss型 (LLM) 、多模态模型或垂直领域模型，开发具备自主决策能⼒的 AI Agent，⽀持任务分解、⼯具调用 (如API、数据库) 和结果反馈 *0-3年服务端研发工作/学习经验，精通Java/Python/C++其中⼀门编程语言，熟悉业务交付流程 *熟悉分布式系统的设计和应用，熟悉分布式、缓存、消息队列等机制，能对分布式常用技术进行合理应用 *持续迭代优化Agent相关技术实现和架构设计 *熟悉CE优化、RAG优化、Al Agent等技术，具有实际项目经历的同学优先 *有langgraph langchain使用经验优先
AI智能体Agent高级工程师,中创时代企业管理,8-13K,北京,本科,5-10年,1000-9999人,人工智能,,岗位名来自称：AI智能体Agent高级工程师 boss一、工作职责 1. 架构设计：负责AI Agent核⼼架构设计，包括规划、记忆、⼯具调⽤、多智能体协作等模块。 2. 技术攻坚：主导大模型微调、RAG优化、推理链路调优，解决复杂业务场景下的效果与性能问题。 3. 产品落地：协同产品与运营，推动Agent在客服、营销、办公等场景的产品化与规模化应用。 4. 团队管理：组建并带领技术团队，制定技术规范与⼈才培养体系。 二、任职要求 1. 硕士以上，5年以上AI算法或后端开发经验，2年以上Agent/LangChain相关项目经验。 2. 精通Python/Go，熟悉主流大模型（GPT/Claude/Qwen等）及Agent框架，有大规模落地案例。 3. 具备技术前瞻性与团队管理能力。 三、绩效考核 Agent产品交付质量（30%）、技术稳定性与性能指标（25%）、业务场景落地效果（25%）、团队建设与技术沉淀（20%）。 四、公司项目 1、小程序“中创灵工”——为企业和自由职业者搭建线上合作平台！把就业装进手机里！超1亿用户使用！ 企业空中用工，员工线上就业。将企业发展融入国家战略，助力高质量充分就业！ 下单者·企业端：线上下单、异地众包、精准匹配、灵活用工、降本增效等需求；
Agent infra研发工程师-北京-27届实习,阿里云,400-450元/天,北京,本科,,10000人以上,互联网,带薪年假|绩效奖金|免费班车|定期体检|五险一金|餐补|节日福利|年终奖,岗位职责 负责构建boss支撑AI Agent全生命周期的核心基础设施，涵盖设计构建、训练来自优化、安全部署、高并发调度及服务化交付等，为Agent的规模化落地提供稳定、⾼效、安全的底层能⼒。 具体职责包括以下相关⽅向的一项或多项： 1基础设施：设计高并发、可扩展的Agent框架，覆盖沙箱执⾏、容器编排、任务调度及状态管理，支持训练优化与安全部署。 2.安全与稳定性：构建沙箱隔离与委托身份认证，确保API安全调用，并实现检查点恢复机制保障长任务可靠性。 3.平台服务能力：开发LLM上下文预计算、知识检索等优化能力，封装SDK/API（如向量检索、观测体系）提升推理效率。 4能力产品化：模块化输出开发套件（如CLI/SKLLS），降低Agent构建与调优门槛，支持算法迭代优化。 5.技术前瞻与落地：跟踪Agent生态技术进展，推动新技术规模化应用，持续优化架构性能与易用性。 目标：通过高效、安全、先进的基础设施，实现AI Agent从开发到生产的全流程支持，加速规模化落地。 岗位要求 1.基础条件：计算机、软件工程、人工智能等相关专业优先。 2.专业能力 ● AI编程工具重度玩家：Cursor、Claude Code等AI编程工具重度或顶级玩家，具备极强的Prompt编写与调优能力，有过完整的项目级开发经验，理解如何让AI写出生产级代码。 ● 大模型理解与掌握： 理解主流LLM的能力与局限，能够清晰拆解任务并通过LLM或确定性逻辑兜底实现；熟悉主流大模型的应用范式（Prompt Engineering、RAG、Agent、工具/函数调用、检索增强等）及主流Agent框架(如LangChain等)，具备大模型幻觉、Prompt注入等风险的工程化应对思路。 ● 委托编排与人机协作： 具备任务拆解、分层与分布设计能力，能完成上下文供给与约束注入，处理多agent协作与冲突治理。 ● 验证与交付工程： 掌握测试工程全链路（覆盖、回归、分层），具备根因分析与调试定位能力，熟悉CI、lint、静态分析等变更管理工具。 ● 工程与系统素养：能至少在一种主流编程语言（如 Java / Python / JS 等）上有深度的实践经验，掌握常见工程实践并具备优秀的Coding 能力，能够根据场景灵活选型并快速上手。 3.能力特质 ● 学习力：对AI有热情、对前沿技术与产品好奇，对未知开放，能举一反三。 ● 动手能力：积极主动体验市场中先进的模型和产品，独立阅读论文/技术报告等并快速复现，快速主动尝试落地先进开源项目。 ● 技术审美：对新技术有近乎本能的渴望，追求简洁、可维护、可扩展方案；在模型/框架/工具选型上保持高信噪比决策。 职位要求 1.基础条件： ● 计算机、软件工程、人工智能等相关专业优先。 ● 有顶会论文/高影响项目/开源贡献者加分。 2.专业能力: ● 技术基础：扎实的计算机基础（OS/网络/数据库），精通至少一门编程语言（Go/Python/Java/Rust/TypeScript），熟悉后端技术栈（微服务/消息队列/缓存）及云原生（K8s/Serverless）或安全隔离技术（Docker/gVisor）。 ● AI Agent 专精领域：深入理解大模型原理，熟悉至少一种Agent框架（LangGraph/ADK/LangChain/AutoGen/MetaGPT等）或核心组件（RAG/工具调用/SKILLS），具备Agent全生命周期管理（训练/评测/部署）经验，有强化学习或规划算法背景优先。 ● Agent Ops 运维实践：掌握LLMOps（模型版本/监控/部署）及AgentOps（编排/自愈/状态管理），熟悉可观测性系统（链路追踪/日志分析）。 ● 工程与交付能力：擅长AI Coding快速原型开发，熟悉测试与变更管理（CI/静态分析），有高并发优化或多租户隔离经验。 3.能力特质： ● 对AI原生应用有热情，能复现前沿技术；追求简洁可扩展的架构，沟通协作能力强。 加分项： ● 有Agent优化实战经验、参与Agent平台开发、熟悉上下文工程或多Agent协同系统。
Agent后端研发实习生,百度在线,200-250元/天,北京,本科,,10000人以上,互联网,带薪年假|零食下午茶|补充医疗保险|定期体检|通讯补贴|餐补|股票期权|年终奖|五险一金,"工来自作职责 1.负boss责营销SaaS产品数字员工平台的需求调研、设计及boss研发落地工作，来自结合已有的数字人、内容创作、外呼、客服等应⽤产品，推动AI Agent在营销、客户服务等To B垂直领域落地并取得业务价值。 2.负责营销场景内容营销、售前线索收集、售中对话分析、售后客服等场景技术预研、架构设计、业务模型抽象及功能开发保持对业务场景的敏锐洞察，快速熟悉业务流程并理解业务痛点，沟通并分析产品需求，制定技术⽅案，设计与研发核⼼系统及模块，推动产品快速迭代。 3.探索大模型与Agent技术的结合，解决复杂场景下的推理能力，研发内容洞察、内容创作、内容发布、数据分析的全链路内容营销数字员⼯。 4.优化Agent与工具调用的协同机制，提升任务规划、自主决策和交互体验，构建各场景化Agent的自动化评估系统。 任职资格 1. 至少精通Java/Go/Python其中一种编程语言, 熟悉常用的算法和数据结构，熟悉常用的软件设计模式并能根据实际情况灵活应用； 2.具备清晰的思路，良好的业务理解能⼒、系统分析和软件设计能⼒，优秀的沟通能⼒及项⽬推动能⼒。 3.热爱技术，持续学习，敢于挑战难题，期盼为加速AGI降临贡献一份力量； 加分项（其一即可）： 1.有提示词优化、模型训练、评测体系搭建的工程经验"
agent工程师,某小型人工智能初创公司（已获顶级VC投资）,85-110K·16薪,北京,本科,经验不限,20-99人,人工智能,五险一金,"""1.设计并实现Multi-Agent协作架构(如对话管理 Agent，推荐Agent，记忆管理Agent等)，支撑生产出优质的音频内容； 2.精通英文prompt设计，针对不同agent角⾊进⾏精细化prompt策略撰写与迭代(包括 few-shot,chain-of-thought,tool-calling等) 3.进⾏模型和Agent Eval，完成优质模型和优质 Agent框架的迭代； 4.编写SQL，分析用户对不同内容类型的偏好，驱动Prompt与Agent策略优化 任职要求: 1.熟练掌握Python 2.熟练使用SQL 3.有LLM Prompt Engineering实战经验 4.熟悉⾄少一种开源Multi-Agent框架 5.英语读写能力优秀，能熟练阅读英文论文，文档，并设计英文prompt 6.加分项： 1.跟踪过最新的Agent框架 2.大模型行业背景 3.善用Cursor/Claude Code等AI工具 4.英文熟练加分"""
后端研发实习生（大模型Agent方向）,中国电信安全公司,200-300元/天,北京,本科,,500-999人,信息安全,节日福利|带薪年假|员工旅游|年终奖|五险一金|交通补助|通讯补贴|补充医疗保险|餐补|定期体检,工作地点：北京 实习来自时间：至boss少1年，每周5天全职在岗 到岗要求：快速到岗 实习补贴：200元/天 重要！ 投简历请告知： - 是否有大模型/Agent相关项目经验 - 可实习的起⽌时间及每周出勤天数 ⼀、岗位职责 1. 系统开发与实现 - 在导师指导下，参与安全业务系统的模块设计与编码实现，按照技术规范完成⾼质量代码。 - 负责大模型Agent相关功能的开发和调优（如提示词⼯程、工具调用、记忆管理、多Agent协作等），产出可运行的Agent能力。 - 参与技术预研和原型验证，学习并实践新的技术方案。 2. 项目协作与配合 - 配合导师及团队成员完成日常开发任务，按时保质交付工作成果。 - 参与项目中的技术攻关（如性能优化、问题排查等），在指导下解决中等复杂度的问题。 3. 运维支持与问题响应 - 在导师带领下，参与线上系统的监控、日志分析和简单故障排查，积累生产环境经验。 - 协助处理线上反馈的问题，保障系统稳定运行。 4. 技术创新与应用 - 关注大模型、Agent框架、云原生等技术动态，在导师指导下尝试引入或验证新技术。 - 参与基础组件或公共工具的开发，提升团队开发效率。 二、任职要求 1. 教育背景 - 计算机相关专业，本科及以上学历（含在读硕博）。 2. 核心技能 - Java基础扎实：熟悉面向对象、数据结构与算法，编码习惯良好。 - 后端框架：了解Spring Boot/Spring Cloud，能独立编写基本的REST API。 - 数据库：熟悉SQL，能使用MySQL/PostgreSQL，了解Redis基本用法。 - 分布式基础：了解消息队列（Kafka/RocketMQ）、服务调用（Dubbo/gRPC）的基本概念，有简单使用经验。 - 大模型Agent：了解LangChain、LlamaIndex、AutoGen、Dify等任一框架，或有过调用LLM API（OpenAI、智谱、文心等）并完成对话、工具调用的小项目。 - Linux与容器：熟悉Linux常用命令，了解Docker的基本使用。 - 版本控制：熟练使用Git。 3. 软性素质 - 学习能力强：能快速掌握新知识，愿意主动钻研复杂问题，不畏惧挑战。 - 责任心与服从安排：认同固定工作时间和导师制，服从合理的任务分配，按时出勤。 - 逻辑与沟通：思路清晰，能准确描述技术问题，乐于与团队协作。 - 能长期稳定实习：保证1年以上、每周5天全勤，尽快到岗。 4. 加分项 - 有实际后端开发经验优先（包括实习、全职工作或深度参与的开源项目）。 - 有大模型Agent实际开发经验者优先（如课程项目、竞赛、实习或自研项目）。 三、我们提供 - 资深工程师一对一导师：由经验丰富的后端/大模型方向工程师亲自指导，带你深入系统设计与Agent落地全流程。 - 真实业务场景：接触前沿的大模型Agent技术，参与可量产的工业级项目，积累有竞争力的实习经历。 - 明确的成长路径：从编码规范到系统架构，从调试技巧到线上运维，导师会帮助你逐步提升。 - 实习补贴：200元/天。 - 其他福利：免费零食、定期团建等。
AI工具开发工程师（AI Agent）,虎跃数据,12-17K,北京,本科,经验不限,20-99人,计算机软件,绩效奖金|五险一金,职位描述： 1.负责AI Agent相关业务的服务端研发工作，深入理解内部团队输出的整体技术方案，并负责高boss质量的⼯程落地与执⾏ 2.负责基于Coze等平台的AIWorkflow（⼯作流）搭建与链路串联，保障全链路的高效与稳定 3.负责业务相关AI知识库(RAG）的构建、数据接入与持续维护 4.负责AIAgent核⼼SKILL（工具/插件）的设计、开发与深度调优，满足复杂的业务场景需求 5.协同团队解决AI应用在实际落地中的性能问题，并根据业务反馈进行持续的优化调整与迭代 职位要求： 1、本科及以上学历，计算机软件开发及相关专业； 2、掌握至少一种主流编程语言，如Go，Python，Java等，能够高效地进行后端开发工作，具备良好的数据结构和算法基础； 3、熟悉AIAgent相关技术，了解工具开发，Agent流程设计，评估系统，上下文工程等体系 4、具有较强的学习能力和求知欲，能够快速掌握新知识、新技术，关注AI领域的发展动态，推动Agent应用的持续优化。 具备以下条件者优先： 1、了解主流AI模型及其应用场景，有从0-1搭建AI Agent应用经验者优先，能够独立完成Agent应用的设计、开发和部署工作 2、具备全栈开发经验者优先 需要提供作品集。 福利： 公司包三餐，早10晚7，晚上打车报销（上限120），五险一金，年假
